fhm_player_id,kind,inducted_year,sort_order
6121,skater,1990,0
3985,skater,1990,1
5885,skater,1990,2
6807,goalie,1990,3
6183,skater,1991,4
6518,skater,1991,5
5851,skater,1991,6
5830,goalie,1991,7
5737,skater,1992,8
6543,goalie,1992,9
4478,skater,1992,10
3851,skater,1992,11
6808,skater,1993,12
6549,skater,1993,13
5401,skater,1993,14
4862,skater,1993,15
6869,skater,1994,16
4535,skater,1994,17
5315,skater,1994,18
6609,skater,1994,19
1492,skater,1996,20
3993,goalie,1996,21
1442,skater,1996,22
893,skater,1997,23
1728,skater,1997,24
1618,skater,1997,25
996,goalie,1997,26
469,skater,1998,27
1587,skater,1998,28
710,skater,1998,29
5197,goalie,1998,30
4839,skater,1989,
5205,skater,1989,
5800,skater,1989,
7042,skater,1989,
7040,skater,1989,
7045,skater,1989,
6715,skater,1989,
6094,skater,1989,
4703,skater,1989,
7044,skater,1989,
6137,skater,1989,
6318,skater,1989,
4530,skater,1989,
7043,skater,1989,
7041,skater,1989,
6622,skater,1989,
6355,skater,1989,
6575,skater,1989,
5423,skater,1989,
6838,skater,1989,
5118,skater,1989,
4347,skater,1989,
4699,skater,1989,
4871,skater,1989,
4658,skater,1989,
6512,skater,1989,
5628,skater,1989,
5248,skater,1989,
5137,skater,1989,
4833,skater,1989,
5564,skater,1989,
4670,skater,1989,
5193,skater,1989,
4542,skater,1989,
4736,skater,1989,
6147,skater,1989,
4327,skater,1989,
4400,skater,1989,
6652,skater,1989,
3715,skater,1989,
6245,skater,1989,
4940,skater,1989,
4152,skater,1989,
5618,skater,1989,
4251,skater,1989,
5053,skater,1989,
5377,skater,1989,
4053,skater,1989,
5601,skater,1989,
3991,skater,1989,
3810,skater,1989,
4103,skater,1989,
4418,skater,1989,
3997,skater,1989,
6034,skater,1989,
5995,skater,1989,
6202,skater,1989,
4547,skater,1989,
5210,skater,1989,
4272,skater,1989,
5998,skater,1989,
6450,skater,1989,
5399,skater,1989,
4239,skater,1989,
6221,skater,1989,
6496,skater,1989,
6189,skater,1989,
4504,skater,1989,
6503,skater,1989,
3965,skater,1989,
4793,skater,1989,
4442,skater,1989,
6878,skater,1989,
6095,skater,1989,
6211,skater,1989,
4987,skater,1989,
4294,skater,1989,
3843,skater,1989,
6019,skater,1989,
4276,skater,1989,
6437,skater,1989,
5075,skater,1989,
3996,skater,1989,
6562,skater,1989,
3764,skater,1989,
6621,skater,1989,
6413,skater,1989,
5212,skater,1989,
3708,skater,1989,
5900,skater,1989,
4241,skater,1989,
5144,skater,1989,
6144,skater,1989,
6657,skater,1989,
5066,skater,1989,
3949,skater,1989,
5078,skater,1989,
4930,skater,1989,
3899,skater,1989,
3900,skater,1989,
4339,skater,1989,
5271,skater,1989,
4682,skater,1989,
6427,skater,1989,
6036,skater,1989,
5895,skater,1989,
5355,skater,1989,
3776,skater,1989,
4731,skater,1989,
5263,skater,1989,
5454,skater,1989,
5491,skater,1989,
4331,skater,1989,
6079,skater,1989,
6047,skater,1989,
6281,skater,1989,
5274,skater,1989,
4751,skater,1989,
6278,skater,1989,
5589,skater,1989,
6518,skater,1989,
5105,skater,1989,
4242,skater,1989,
3878,skater,1989,
6804,skater,1989,
6235,skater,1989,
4436,skater,1989,
4096,skater,1989,
5855,skater,1989,
4578,skater,1989,
5074,skater,1989,
5448,goalie,1989,
4661,goalie,1989,
5047,goalie,1989,
6824,goalie,1989,
4698,goalie,1989,
6241,goalie,1989,
6958,goalie,1989,
3886,goalie,1989,
4281,goalie,1989,
4540,goalie,1989,
4217,goalie,1989,
4861,goalie,1989,
4012,goalie,1989,
4048,goalie,1989,
4513,goalie,1989,
6074,goalie,1989,
6739,goalie,1989,
4738,goalie,1989,
4054,goalie,1989,
5531,goalie,1989,
6957,goalie,1989,
4869,goalie,1989,
4579,goalie,1989,
6153,goalie,1989,
6414,goalie,1989,
7039,skater,1989,
