Game Id;PlayerId;TeamId;Game Rating;Game Rating Off;Game Rating Def;G;A;+/-;SOG;MS;BS;PIM;HT;TK;GV;SHF;TOT;PP;SH;EV;FOW;FOL;FO%;Team Shots on;Team Shots Against on;Team Shots Missed on;Team Shots Missed Against on;Team Shots Blocked on;Team Shots Blocked Against on;Team Goals on;Team Goal Against on;Team Shots off;Team Shots Against off;Team Shots Missed off;Team Shots Missed Against off;Team Shots Blocked off;Team Shots Blocked Against off;Team Goals off;Team Goal Against off;OZ Starts;NZ Starts;DZ Starts;Team OZ Starts;Team NZ Starts;Team DZ Starts;SQ0;SQ1;SQ2;SQ3;SQ4
164;13091;11;41.3;50;35.9;0;0;-2;0;0;0;5;0;0;0;5;293;0;0;293;1;4;20.0;3;4;0;0;2;0;0;2;29;23;7;6;19;9;3;1;1;3;1;19;26;14;0;0;0;0;0
164;13099;11;91.5309;82.08;86.031;1;1;-1;4;3;3;2;6;0;1;22;1354;190;120;1042;0;0;0;11;8;4;2;8;1;1;2;21;19;3;4;13;8;2;1;12;11;5;19;26;14;1;3;3;2;1
164;13123;16;58.0399;50;73.084;0;0;0;1;0;1;4;2;0;2;13;830;120;0;710;0;0;0;3;9;1;2;2;8;0;0;24;23;5;5;7;13;3;3;1;5;3;14;26;19;1;0;1;0;0
164;13588;16;82.3289;70.11;87.362;2;0;2;7;1;2;0;2;0;1;17;1253;261;0;991;0;0;0;9;8;3;1;4;8;2;0;18;24;3;6;5;13;1;3;7;11;2;14;26;19;1;1;5;3;0
164;14111;16;56.0833;54.34;49.4;0;1;0;1;0;0;0;2;0;1;15;970;0;163;806;0;0;0;4;10;0;4;0;12;1;1;23;22;6;3;9;9;2;2;1;6;8;14;26;19;0;1;0;0;0
164;15065;16;54.3025;55.005;45.4;0;0;-1;2;1;0;2;0;0;0;10;567;29;0;538;5;6;45.5;6;6;1;0;1;2;0;1;21;26;5;7;8;19;3;2;3;4;4;14;26;19;0;1;0;2;0
164;15078;16;68.9233;67.355;48.2;1;0;-1;2;1;0;0;1;0;1;18;1128;232;0;896;0;0;0;8;8;1;0;5;2;0;1;19;24;5;7;4;19;3;2;7;6;5;14;26;19;0;1;1;1;0
164;15099;16;46.7;50.635;45.6;0;0;-1;1;0;0;0;0;0;0;10;518;0;20;497;0;0;0;2;3;3;1;0;1;0;1;25;29;3;6;9;20;3;2;1;1;2;14;26;19;0;0;1;0;0
165;11980;0;64.414;54.625;77.198;0;0;1;0;0;0;0;1;0;0;6;407;0;14;393;0;0;0;1;2;0;2;3;6;1;0;29;24;3;7;11;13;5;3;2;2;2;9;26;14;0;0;0;0;0
165;177;0;49.15;55.005;43.9;0;1;0;2;0;1;0;3;0;3;16;1159;0;61;1097;0;0;0;12;11;1;5;5;3;3;3;18;15;2;4;9;16;3;0;2;8;3;9;26;14;0;1;2;0;0
165;16001;229;71.69;66.975;66.429;0;0;-1;1;2;0;0;2;1;1;21;1241;306;0;934;0;0;0;9;8;6;1;5;2;1;2;17;22;3;2;14;12;2;4;4;11;3;14;26;9;0;0;2;1;0
165;12390;229;61.0511;53.39;71.632;0;0;0;0;0;0;0;0;0;0;8;683;280;0;403;0;4;0.0;4;4;1;0;3;1;0;0;22;26;8;3;16;13;3;6;7;1;2;14;26;9;0;0;0;0;0
165;651;229;27.8;58.297;21.1;0;1;-4;4;0;0;0;2;1;0;18;1144;46;47;1051;0;0;0;13;13;5;2;6;2;1;5;13;17;4;1;13;12;2;1;2;11;3;14;26;9;0;2;2;0;0
165;797;0;63.47;53.932;70.056;0;1;0;1;0;3;0;1;0;0;13;848;0;23;824;0;0;0;7;3;0;3;3;8;1;1;23;23;3;6;11;11;5;2;3;5;2;9;26;14;0;2;2;0;0
165;881;229;56.389;64.98;37;1;0;-1;2;2;0;0;0;0;0;13;762;86;0;676;0;0;0;8;7;2;1;2;4;1;2;18;23;7;2;17;10;2;4;0;6;3;14;26;9;0;0;1;1;2
165;960;0;62.8625;59.185;66.792;1;0;1;2;2;1;0;1;0;3;13;1099;0;270;829;0;0;0;6;10;1;2;5;4;1;0;24;16;2;7;9;15;5;3;3;7;8;9;26;14;0;2;0;2;1
