PlayerId;TeamId;FranchiseId;GP;G;A;+/-;PIM;PP G;PP A;SH G;SH A;Fights;Fights_Won;HIT;GvA;TkA;SB;GR;Game Rating Off;Game Rating Def;SOG;TOI;PPTOI;SHTOI;PDO;GF/60;GA/60;SF/60;SA/60;CF;CA;CF%;CF% rel;FF;FA;FF%;FF% rel;GWG;FO;FOW
11997;221;221;5;0;1;-4;0;0;0;0;0;0;0;1;5;2;1;54;50;54;3;3236;39;0;87.1;1.1;5.6;15.6;27.8;39;35;52.7;1.8;16;28;36.4;-7.4;0;0;0
13021;20;20;7;0;0;-2;0;0;0;0;0;0;0;7;2;3;4;64;59;67;11;5213;0;114;95.7;0.0;1.4;15.9;31.8;61;75;44.9;4.2;36;53;40.4;1.9;0;5;4
1849;8;8;5;1;1;2;9;0;0;0;0;1;0;5;2;5;3;67;63;72;5;4543;0;523;105.5;2.4;0.8;23.8;17.4;67;36;65.0;7.4;38;25;60.3;9.0;0;1;0
1853;17;17;9;5;8;8;6;1;1;0;0;0;0;7;3;5;2;73;70;65;17;9452;424;308;110.9;5.3;2.3;26.7;25.1;132;111;54.3;2.5;78;81;49.1;-4.3;0;107;57
1859;20;20;4;0;1;-1;0;0;0;0;0;0;0;1;2;4;2;63;57;65;2;2906;0;0;100.0;1.2;2.5;12.4;24.8;16;42;27.6;-17.9;12;27;30.8;-11.1;0;0;0
1864;3;3;9;4;1;1;19;2;1;0;0;1;1;5;5;11;2;67;59;75;16;8389;1932;34;102.9;3.0;2.1;29.6;29.6;120;131;47.8;1.6;81;84;49.1;-2.1;0;124;60
1865;3;3;9;1;2;4;17;1;0;0;0;1;0;17;1;11;11;70;60;77;9;9406;1763;347;112.3;3.8;1.9;19.9;27.6;100;137;42.2;-6.4;69;83;45.4;-7.3;1;0;0
1869;15;15;11;0;7;-1;7;0;3;0;0;1;0;8;3;10;18;65;59;72;20;11805;1725;717;95.8;2.4;2.7;30.8;22.6;165;128;56.3;-0.6;115;86;57.2;-3.0;0;0;0
1875;3;3;9;1;3;0;7;0;1;0;0;1;0;18;11;5;12;70;63;75;22;8088;1927;0;102.6;3.1;2.7;25.4;27.6;111;132;45.7;-1.5;69;75;47.9;-3.6;1;8;5
13022;24;24;5;0;1;-2;5;0;0;0;0;1;0;5;2;3;11;62;50;71;4;4756;11;456;94.5;0.8;2.3;25.0;26.5;56;60;48.3;9.0;39;42;48.1;7.7;0;0;0
