PlayerId;TeamId;FranchiseId;GP;G;A;+/-;PIM;PP G;PP A;SH G;SH A;Fights;Fights_Won;HIT;GvA;TkA;SB;GR;Game Rating Off;Game Rating Def;SOG;TOI;PPTOI;SHTOI;PDO;GF/60;GA/60;SF/60;SA/60;CF;CA;CF%;CF% rel;FF;FA;FF%;FF% rel;GWG;FO;FOW
681;224;224;32;0;8;1;62;0;1;0;0;6;1;33;6;17;50;63;52;71;38;27238;2219;5860;98.8;2.5;2.4;29.1;24.2;363;319;53.2;-0.1;259;205;55.8;1.6;0;0;0
691;23;23;33;9;11;-2;18;3;4;0;0;0;0;57;27;20;14;65;60;69;78;29326;3857;1539;98.1;2.2;2.5;29.3;25.9;428;350;55.0;0.1;291;242;54.6;-1.1;3;26;13
694;11;11;30;7;6;-2;38;0;0;0;1;4;2;39;27;18;16;66;59;73;46;24058;4330;1923;101.0;2.4;2.8;25.9;34.6;312;364;46.2;-6.9;200;268;42.7;-6.6;1;396;200
696;10;10;31;5;4;7;12;0;0;0;0;0;0;15;20;6;12;58;54;62;51;17339;605;1376;104.8;3.1;1.7;28.9;27.6;253;244;50.9;-1.3;171;162;51.4;0.1;1;16;10
14033;24;24;32;14;12;-4;38;2;5;0;0;2;1;43;38;31;34;69;57;78;88;27916;7533;5786;98.9;3.2;3.6;28.8;29.3;381;383;49.9;7.9;271;264;50.7;6.6;1;428;220
698;5;5;31;9;12;-12;55;1;7;0;0;5;1;35;38;23;11;64;58;66;61;27268;5856;669;98.3;2.4;3.6;25.2;32.1;335;407;45.1;-3.3;231;287;44.6;-2.8;2;257;122
708;224;224;25;0;8;-1;4;0;1;0;0;0;0;23;7;13;33;60;51;67;26;22457;770;1739;98.1;2.4;2.4;28.4;23.1;317;267;54.3;2.9;212;162;56.7;3.7;0;0;0
709;8;8;33;8;18;10;31;6;3;0;0;1;0;49;11;26;23;72;65;69;68;34372;5797;1334;103.8;3.0;2.1;27.6;29.0;430;416;50.8;0.6;307;323;48.7;-0.7;2;0;0
13502;19;19;33;10;9;5;18;1;0;1;1;0;0;27;21;21;11;61;55;65;55;24980;2275;1719;101.6;3.2;2.7;27.1;27.2;314;309;50.4;2.3;224;221;50.3;2.4;1;140;74
713;214;214;28;1;3;-4;10;0;0;0;0;0;0;19;11;11;5;62;56;63;21;19238;132;1381;97.1;1.9;2.4;22.8;21.9;214;226;48.6;0.7;146;146;50.0;2.2;0;167;89
