Year,Team ID,Team Name Override,Logo File Override,GP,W,L,T (OTL),PTS,GF,GA,Goal Differential,Result,PIM/G,PPG,PPG Against,PP Ch,SHG,SHG Against,SHC,PP%,PK%
1953-54,9,,,70,18,41,11,47,154,235,-81,Missed Playoffs,7.83,31,36,236,6,8,220,13.1,83.6
1954-55,9,,,70,40,18,12,92,232,160,72,Lost Semi-Finals,9,44,29,272,4,4,243,16.2,88.1
1954-55,0,,,70,40,23,7,87,205,184,21,Lost Semi-Finals,9.09,31,32,228,12,4,261,13.6,87.7
1954-55,8,,,70,29,24,17,75,223,181,42,Lost Cup Finals,7.17,32,23,235,1,3,211,13.6,89.1
1954-55,10,,,70,24,28,18,66,180,181,-1,BOWL CUP CHAMPION,8.51,25,24,233,4,8,240,10.7,90
1954-55,3,,,70,21,34,15,57,171,194,-23,Missed Playoffs,8.2,23,33,231,6,6,231,10,85.7
1954-55,5,,,70,15,42,13,43,173,284,-111,Missed Playoffs,8.29,21,35,213,3,3,226,9.9,84.5
1955-56,10,,,70,33,24,13,79,200,176,24,BOWL CUP CHAMPION,9.29,36,35,49,1,6,251,14.5,86.1
1955-56,3,,,70,33,31,6,72,222,199,23,Lost Semi-Finals,8.49,37,24,255,8,8,229,14.5,89.5
1955-56,9,,,70,32,31,7,71,232,199,33,Lost Semi-Finals,10.43,42,39,300,4,3,293,14,86.7
1955-56,8,,,70,28,29,13,69,205,217,-9,Lost Cup Finals,8.74,40,38,233,2,6,240,17.2,84.2
1955-56,0,,,70,29,33,8,66,207,219,-12,Missed Playoffs,10.46,26,39,280,11,2,299,9.3,87
1955-56,5,,,70,25,32,13,63,221,280,-59,Missed Playoffs,8.74,36,35,249,1,6,251,14.5,86.1
1956-57,10,,,70,36,18,16,88,233,149,84,Lost Semi-Finals,10.76,44,46,276,3,6,273,15.9,83.2
1956-57,0,,,70,35,21,14,84,237,197,40,BOWL CUP CHAMPION,11.97,31,25,251,14,4,306,12.4,91.8
1956-57,9,,,70,27,27,16,70,233,236,-3,Lost Cup Finals,13.76,36,54,364,2,8,346,9.9,84.4
1956-57,8,,,70,29,31,10,68,251,245,6,Lost Semi-Finals,10.36,49,37,274,2,8,265,17.9,86
1956-57,3,,,70,27,30,13,67,204,236,-32,Missed Playoffs,10.07,44,34,288,7,3,267,15.3,87.3
1956-57,5,,,70,16,43,11,43,211,306,-95,Missed Playoffs,11,44,46,276,3,6,273,15.9,83.2
