League Id;Date;Home;Score Home;Away;Score Away;Type;Played;Overtime;Shootout;Game Id
0;1970-10-16;0;6;131;0;Regular Season;1;0;0;10169
0;1970-10-16;122;3;8;6;Regular Season;1;0;0;9704
0;1970-10-17;118;1;3;7;Regular Season;1;0;0;9667
0;1970-10-17;0;7;10;1;Regular Season;1;0;0;9738
0;1970-10-18;130;1;8;2;Regular Season;1;0;0;10194
0;1970-10-18;9;0;119;3;Regular Season;1;0;0;10182
0;1970-10-18;131;2;121;1;Regular Season;1;0;0;9673
0;1970-10-18;123;1;120;4;Regular Season;1;0;0;10152
0;1970-10-19;3;9;131;2;Regular Season;1;0;0;9668
0;1970-10-19;120;1;5;3;Regular Season;1;0;0;9689
0;1970-10-19;122;4;8;2;Regular Season;1;0;0;9728
0;1970-10-20;10;3;5;2;Regular Season;1;0;0;9699
0;1970-10-20;118;5;119;1;Regular Season;1;0;0;9920
0;1970-10-20;122;5;123;4;Regular Season;1;0;0;9758
0;1970-10-20;130;3;121;3;Regular Season;1;0;0;9693
0;1970-10-21;0;8;9;2;Regular Season;1;0;0;9707
0;1970-10-21;8;3;123;4;Regular Season;1;0;0;9766
0;1970-10-21;3;2;130;5;Regular Season;1;0;0;9692
0;1970-10-22;8;4;9;4;Regular Season;1;0;0;10195
0;1970-10-22;118;1;119;1;Regular Season;1;0;0;9757
0;1970-10-22;5;1;131;1;Regular Season;1;0;0;9686
0;1970-10-22;121;3;120;2;Regular Season;1;0;0;9681
0;1970-10-22;0;4;10;3;Regular Season;1;0;0;9740
0;1970-10-23;130;3;3;0;Regular Season;1;0;0;9694
0;1970-10-23;120;6;121;2;Regular Season;1;0;0;9696
0;1970-10-23;122;3;119;3;Regular Season;1;0;0;9763
0;1970-10-23;118;2;123;1;Regular Season;1;0;0;9784
0;1970-10-24;122;6;130;2;Regular Season;1;0;0;10046
0;1970-10-24;9;4;131;2;Regular Season;1;0;0;9700
0;1970-10-24;0;6;3;2;Regular Season;1;0;0;10173
0;1970-10-24;123;2;5;1;Regular Season;1;0;0;10174
0;1970-10-25;10;3;9;1;Regular Season;1;0;0;9709
0;1970-10-25;119;0;0;4;Regular Season;1;0;0;9767
0;1970-10-25;118;4;8;1;Regular Season;1;0;0;9795
0;1970-10-26;131;3;123;2;Regular Season;1;0;0;9752
0;1970-10-26;119;2;5;1;Regular Season;1;0;0;9715
0;1970-10-26;130;4;3;3;Regular Season;1;0;0;9695
0;1970-10-26;8;5;122;2;Regular Season;1;0;0;9771
0;1970-10-27;120;2;10;2;Regular Season;1;0;0;9698
0;1970-10-27;121;6;5;4;Regular Season;1;0;0;9697
0;1970-10-27;130;3;3;4;Regular Season;1;0;0;9701
0;1970-10-27;118;4;123;2;Regular Season;1;0;0;9794
0;1970-10-27;131;0;9;7;Regular Season;1;0;0;9702
0;1970-10-28;8;5;121;6;Regular Season;1;0;0;9712
0;1970-10-29;9;7;131;3;Regular Season;1;0;0;9717
0;1970-10-29;5;1;3;4;Regular Season;1;0;0;9711
0;1970-10-29;118;2;123;3;Regular Season;1;0;0;9796
0;1970-10-29;130;1;10;4;Regular Season;1;0;0;9706
0;1970-10-29;119;0;122;0;Regular Season;1;0;0;9786
0;1970-10-30;8;1;120;4;Regular Season;1;0;0;9708
0;1970-10-30;3;2;10;5;Regular Season;1;0;0;9744
0;1970-10-30;122;5;119;2;Regular Season;1;0;0;9776
0;1970-10-30;0;6;5;2;Regular Season;1;0;0;10186
0;1970-10-30;121;4;123;5;Regular Season;1;0;0;10166
0;1970-10-31;118;1;8;5;Regular Season;1;0;0;10126
0;1970-10-31;121;4;120;3;Regular Season;1;0;0;9720
0;1970-11-1;10;4;131;2;Regular Season;1;0;0;10165
0;1970-11-1;0;9;9;3;Regular Season;1;0;0;9742
0;1970-11-2;10;1;0;4;Regular Season;1;0;0;9805
0;1970-11-2;8;0;118;0;Regular Season;1;0;0;9841
0;1970-11-2;123;4;120;2;Regular Season;1;0;0;9727
0;1970-11-2;5;3;122;3;Regular Season;1;0;0;9721
