season,award_name,player_id,team_id,staff_id,notes
1962-63,LANGWAY TROPHY,3320,,,
1962-63,CALDER TROPHY,4723,,,
1962-63,SELKE TROPHY,3452,,,
1963-64,ART ROSS TROPHY,3885,,,
1963-64,RICHARD TROPHY,3885,,,
1963-64,NORRIS TROPHY,3061,,,
1963-64,BOURQUE TROPHY,3450,,,
1963-64,LANGWAY TROPHY,3696,,,
1963-64,CALDER TROPHY,4725,,,
1963-64,SELKE TROPHY,3348,,,
1964-65,ART ROSS TROPHY,4146,,,
1964-65,RICHARD TROPHY,4146,,,
1964-65,NORRIS TROPHY,3349,,,
1964-65,BOURQUE TROPHY,3450,,,
1964-65,LANGWAY TROPHY,4756,,,
1964-65,CALDER TROPHY,4617,,,
1964-65,SELKE TROPHY,3867,,,
1965-66,ART ROSS TROPHY,3885,,,
1965-66,RICHARD TROPHY,4723,,,
1965-66,NORRIS TROPHY,4041,,,
1965-66,BOURQUE TROPHY,3450,,,
1965-66,LANGWAY TROPHY,3337,,,
1965-66,CALDER TROPHY,4729,,,
1965-66,SELKE TROPHY,3328,,,
1966-67,ART ROSS TROPHY,4146,,,
1966-67,RICHARD TROPHY,4146,,,
1966-67,NORRIS TROPHY,4041,,,
1966-67,BOURQUE TROPHY,4376,,,complex_winner=Pat Stapleton (Tie)
1966-67,LANGWAY TROPHY,4756,,,
1966-67,CALDER TROPHY,5246,,,
1966-67,SELKE TROPHY,3883,,,
1967-68,ART ROSS TROPHY,4060,,,
1967-68,RICHARD TROPHY,4060,,,
1967-68,NORRIS TROPHY,4041,,,
1966-67,BOURQUE TROPHY,4376,,,complex_winner=Pat Stapleton (Tie)
1967-68,LANGWAY TROPHY,4348,,,
1967-68,CALDER TROPHY,4469,,,
1967-68,SELKE TROPHY,2831,,,
1967-68,BOURQUE TROPHY,5701,,,
1942-43,VEZINA TROPHY,68,,,
1942-43,LADY BYNG TROPHY,402,,,
1942-43,CONN SMYTHE TROPHY,255,,,
1942-43,HART TROPHY,13,,,
1942-43,JACK ADAMS TROPHY,,3,,unresolved_player=Skyler
1942-43,WILLIAM JENNINGS  TROPHY,68,,,
1942-43,TED LINDSAY  TROPHY,13,,,
1943-44,VEZINA TROPHY,69,,,
1943-44,LADY BYNG TROPHY,157,,,
1943-44,CONN SMYTHE TROPHY,447,,,
1943-44,HART TROPHY,5398,,,
1943-44,JACK ADAMS TROPHY,,10,,unresolved_player=Choog
1943-44,WILLIAM JENNINGS  TROPHY,148,,,
1943-44,TED LINDSAY  TROPHY,13,,,
1944-45,VEZINA TROPHY,325,,,
1944-45,LADY BYNG TROPHY,4625,,,
