PlayerId;League;Team
4037;0;123
4465;0;123
4466;0;122
5396;0;8
4468;0;8
4922;0;123
5639;0;118
4923;0;5
4924;0;118
4137;0;118
4040;0;10
5640;0;3
5398;0;3
3947;0;119
4342;0;10
5045;0;119
4138;0;3
4041;0;3
4717;0;120
5227;0;119
4925;0;120
4139;0;9
5046;0;10
4469;0;122
4343;0;3
5228;0;123
5229;0;118
4593;0;5
3950;0;10
4594;0;120
3856;0;121
4595;0;121
5047;0;120
4926;0;119
5048;0;118
4596;0;121
4719;0;9
5230;0;10
5401;0;8
4471;0;5
4927;0;121
4044;0;0
4928;0;120
4142;0;120
4346;0;123
4348;0;3
4929;0;122
4349;0;0
5641;0;3
4931;0;121
4472;0;123
4721;0;121
5402;0;3
4350;0;122
4598;0;9
4048;0;8
5051;0;5
4722;0;5
4351;0;8
5403;0;120
4932;0;118
4723;0;9
5052;0;122
3667;0;9
4725;0;121
4145;0;119
5851;0;10
4050;0;121
4473;0;123
5231;0;121
4933;0;122
3953;0;122
5232;0;123
4934;0;123
4051;0;122
4474;0;0
4146;0;0
5643;0;120
4148;0;121
5233;0;118
4937;0;3
4149;0;5
5852;0;3
4728;0;5
5234;0;0
5053;0;5
4475;0;3
4729;0;10
4353;0;8
4354;0;122
4476;0;9
3858;0;122
5854;0;0
5055;0;122
4477;0;9
5235;0;9
3955;0;118
4730;0;121
5646;0;119
3131;0;3
5056;0;123
5405;0;5
5057;0;123
3861;0;121
4601;0;3
4731;0;121
5856;0;122
5236;0;118
5237;0;122
4938;0;3
5058;0;10
3862;0;123
4732;0;10
4355;0;10
3957;0;121
5406;0;5
4479;0;123
3958;0;123
3554;0;0
4357;0;123
4602;0;122
5060;0;118
5857;0;8
4358;0;118
5649;0;119
4734;0;119
5061;0;8
4060;0;0
5859;0;3
5408;0;3
4603;0;123
4939;0;9
5062;0;5
5409;0;119
3864;0;121
4735;0;3
4481;0;121
5064;0;5
5065;0;8
5066;0;0
4482;0;122
4150;0;120
4940;0;8
5860;0;122
5067;0;123
4736;0;8
4604;0;123
4061;0;119
4941;0;0
4483;0;9
4942;0;122
5068;0;118
5654;0;122
5655;0;119
5656;0;120
4605;0;8
4943;0;121
5069;0;122
4737;0;120
4738;0;0
5071;0;3
5238;0;120
5410;0;0
4152;0;3
5239;0;118
5411;0;5
5240;0;121
4153;0;123
3867;0;119
4739;0;121
4606;0;120
4741;0;8
5412;0;9
5072;0;120
3959;0;120
4487;0;122
5241;0;3
4361;0;122
5657;0;119
5073;0;9
4945;0;9
