season,team,slot,position,player_id,team_id,notes
1955-56,1,6,Right Wing,2831,10,
1955-56,2,1,Goal,2961,9,
1955-56,2,2,Defence,2695,-1,
1955-56,2,3,Defence,3153,-1,
1955-56,2,4,Left Wing,3150,-1,
1955-56,2,5,Center,3318,121,
1955-56,2,6,Right Wing,447,-1,
1956-57,1,1,Goal,3139,10,
1956-57,1,2,Defence,2703,-1,
1956-57,1,3,Defence,225,-1,
1956-57,1,4,Left Wing,3150,-1,
1956-57,1,5,Center,3328,0,
1956-57,1,6,Right Wing,2831,10,
1956-57,2,1,Goal,458,-1,
1956-57,2,2,Defence,3153,-1,
1956-57,2,3,Defence,2967,-1,
1956-57,2,4,Left Wing,4060,0,
1956-57,2,5,Center,3340,-1,
1956-57,2,6,Right Wing,447,-1,
1957-58,1,1,Goal,3139,10,
1957-58,1,2,Defence,3320,119,
1957-58,1,3,Defence,2703,-1,
1957-58,1,4,Left Wing,3150,-1,
1957-58,1,5,Center,3131,3,
1957-58,1,6,Right Wing,2831,10,
1957-58,2,1,Goal,3317,-1,
1957-58,2,2,Defence,225,-1,
1957-58,2,3,Defence,3337,5,
1957-58,2,4,Left Wing,4060,0,
1957-58,2,5,Center,3328,0,
1957-58,2,6,Right Wing,3318,121,
1958-59,1,1,Goal,3139,10,
1958-59,1,2,Defence,3958,123,
1958-59,1,3,Defence,507,-1,
1958-59,1,4,Left Wing,4060,0,
1958-59,1,5,Center,3328,0,
1958-59,1,6,Right Wing,2831,10,
1958-59,2,1,Goal,61,-1,
1958-59,2,2,Defence,4044,5,
1958-59,2,3,Defence,3320,119,
1958-59,2,4,Left Wing,3150,-1,
1958-59,2,5,Center,3131,3,
1958-59,2,6,Right Wing,3318,121,
1959-60,1,1,Goal,2972,-1,
1959-60,1,2,Defence,3061,-1,
1959-60,1,3,Defence,2697,-1,
1959-60,1,4,Left Wing,4060,0,
1959-60,1,5,Center,3131,3,
1959-60,1,6,Right Wing,3318,121,
1959-60,2,1,Goal,2961,9,
1959-60,2,2,Defence,2967,-1,
1959-60,2,3,Defence,3958,123,
1959-60,2,4,Left Wing,3136,123,
1959-60,2,5,Center,3885,5,
1959-60,2,6,Right Wing,2831,10,
1960-61,1,1,Goal,3139,10,
1960-61,1,2,Defence,3061,-1,
1960-61,1,3,Defence,2697,-1,
1960-61,1,4,Left Wing,4060,0,
1960-61,1,5,Center,3131,3,
1960-61,1,6,Right Wing,3318,121,
1960-61,2,1,Goal,2961,9,
1960-61,2,2,Defence,4044,5,
1960-61,2,3,Defence,3320,119,
1960-61,2,4,Left Wing,4146,5,
1960-61,2,5,Center,3885,5,
1960-61,2,6,Right Wing,2831,10,
1961-62,1,1,Goal,3139,10,
1961-62,1,2,Defence,4158,10,
1961-62,1,3,Defence,3053,10,
1961-62,1,4,Left Wing,4060,0,
1961-62,1,5,Center,3131,3,
1961-62,1,6,Right Wing,2831,10,
1961-62,2,1,Goal,3317,-1,
1961-62,2,2,Defence,3337,5,
1961-62,2,3,Defence,4044,5,
1961-62,2,4,Left Wing,4146,5,
1961-62,2,5,Center,3328,0,
1961-62,2,6,Right Wing,3318,121,
1962-63,1,1,Goal,3139,10,
1962-63,1,2,Defence,3320,119,
1962-63,1,3,Defence,3869,10,
1962-63,1,4,Left Wing,4060,0,
1962-63,1,5,Center,3131,3,
1962-63,1,6,Right Wing,2831,10,
1962-63,2,1,Goal,4343,5,
1962-63,2,2,Defence,3337,5,
1962-63,2,3,Defence,4358,118,
1962-63,2,4,Left Wing,3967,123,
