PlayerId;DraftId;Year;Round;Pick;Overall;Tam;Picked From
3321;0;1950;3;4;16;0;57
4490;0;1959;3;6;18;5;57
4743;0;1961;2;6;12;5;57
4491;0;1959;4;3;21;10;57
4157;0;1957;2;6;12;10;57
3675;0;1953;1;2;2;9;89
5416;5;1967;2;4;16;120;83
5075;1;1963;1;3;3;3;-1
5076;1;1963;4;3;21;3;-1
5077;2;1964;3;5;17;3;84
4744;0;1961;4;6;24;5;57
4745;0;1961;3;1;13;3;57
4492;0;1959;1;6;6;5;89
5078;2;1964;1;2;2;10;85
5243;5;1967;1;6;6;118;89
5244;3;1965;2;5;11;9;89
3873;0;1954;1;6;6;0;57
3047;0;1948;2;3;9;8;57
2937;0;1947;4;2;20;5;57
5246;2;1964;1;5;5;3;85
5079;1;1963;2;2;8;9;-1
5417;3;1965;1;4;4;3;83
3048;0;1948;4;3;21;8;57
5418;5;1967;3;10;34;9;84
4065;0;1956;1;3;3;8;57
3136;0;1949;1;4;4;5;57
3137;0;1949;4;2;20;10;57
3875;0;1954;3;3;15;10;57
4365;0;1958;1;1;1;3;57
3963;0;1955;1;3;3;10;57
4493;0;1959;1;5;5;5;57
3964;0;1955;4;1;19;5;57
4611;0;1960;4;5;23;0;57
5247;5;1967;1;10;10;9;90
4613;0;1960;3;1;13;3;57
4366;0;1958;4;5;23;0;57
5080;2;1964;2;5;11;3;84
4615;0;1960;4;3;21;8;57
2825;0;1946;4;5;23;5;57
4068;0;1956;4;1;19;5;57
4069;0;1956;2;3;9;8;57
4616;0;1960;4;4;22;10;57
3965;0;1955;4;3;21;10;57
4367;0;1958;1;4;4;10;57
4070;0;1956;3;3;15;8;57
4158;0;1957;1;6;6;10;57
4751;0;1961;2;2;8;10;57
4071;0;1956;2;1;7;5;57
4617;0;1960;3;2;14;9;57
4369;0;1958;1;3;3;8;57
4618;0;1960;2;2;8;9;57
4756;0;1961;1;6;6;5;57
3967;0;1955;1;2;2;3;57
5248;3;1965;1;3;3;10;83
3968;0;1955;2;2;8;3;57
4494;0;1959;1;3;3;10;57
4495;0;1959;1;4;4;3;57
4072;0;1956;3;2;14;0;57
5082;1;1963;2;4;10;5;-1
4948;0;1962;2;4;10;5;57
4949;0;1962;4;2;20;9;57
4619;0;1960;1;2;2;9;89
4497;0;1959;2;4;10;8;57
4758;0;1961;4;1;19;3;57
4160;0;1957;1;4;4;9;57
4371;0;1958;3;3;15;8;57
4759;0;1961;4;2;20;10;57
4074;0;1956;2;5;11;3;57
5083;1;1963;4;2;20;9;-1
3560;0;1952;2;1;7;8;57
3679;0;1953;3;1;13;5;57
4621;0;1960;3;3;15;8;57
4075;0;1956;4;6;24;10;57
3326;0;1950;2;6;12;0;57
4162;0;1956;4;5;23;3;59
3433;0;1951;2;5;11;8;57
3879;0;1954;2;6;12;0;57
3434;0;1951;1;2;2;5;57
4500;0;1959;4;2;20;3;59
3139;0;1949;1;2;2;10;57
3971;0;1955;4;2;20;3;57
4622;0;1960;3;6;18;3;57
5084;1;1963;4;1;19;8;-1
4501;0;1959;4;4;22;8;57
4502;0;1959;3;2;14;3;57
4953;0;1962;3;3;15;3;89
3680;0;1953;3;3;15;0;57
4760;0;1961;2;4;10;8;57
4077;0;1955;3;1;13;5;59
4372;0;1958;4;3;21;8;57
5252;5;1967;3;9;33;0;90
3882;0;1954;3;4;16;3;57
3327;0;1950;3;1;13;3;57
3562;0;1952;3;4;16;3;57
