PlayerId;TeamId;FranchiseId;Games Played;Games Started;Minutes Played;Wins;Losses;OT;Shots Against;Saves;Goals Against;Goals Against Average;Shutouts;Save Percentage;Game Rating
4342;9;9;2;2;120;1;1;0;49;40;9;4.50;0;.816;47
4343;118;118;3;3;178;1;1;1;117;108;9;3.02;0;.923;88
6091;5;5;3;3;180;1;1;1;83;76;7;2.33;0;.916;75
4472;123;123;3;3;180;1;1;1;85;77;8;2.67;0;.906;78
4598;9;9;3;3;180;2;1;0;94;86;8;2.67;1;.915;77
4933;122;122;5;5;299;3;2;0;153;137;16;3.20;1;.895;70
5060;118;118;2;2;120;1;0;1;63;58;5;2.50;0;.921;80
4735;3;3;3;3;179;2;1;0;110;101;9;3.01;0;.918;84
5415;119;119;1;0;19;0;0;0;5;5;0;0.00;0;1.000;56
3679;121;121;5;5;268;1;3;1;141;119;22;4.91;0;.844;52
4621;131;131;3;3;180;2;0;1;108;105;3;1.00;2;.972;94
5878;119;119;5;5;279;0;5;0;130;110;20;4.30;0;.846;53
5884;3;3;2;2;119;1;1;0;45;42;3;1.51;0;.933;76
4960;0;0;5;5;299;3;2;0;134;123;11;2.20;1;.918;77
5090;8;8;3;3;180;2;0;1;80;71;9;3.00;0;.888;66
6124;123;123;2;2;119;1;1;0;50;46;4;2.00;0;.920;74
4378;131;131;2;2;119;1;1;0;75;69;6;3.01;0;.920;80
4379;5;5;2;2;119;0;2;0;66;58;8;4.01;0;.879;64
5106;10;10;5;5;299;3;2;0;155;137;18;3.61;0;.884;67
6150;130;130;2;2;119;0;2;0;50;41;9;4.51;0;.820;45
5698;121;121;1;0;30;0;0;0;10;6;4;7.75;0;.600;24
6160;130;130;3;3;180;2;1;0;83;73;10;3.33;0;.880;64
6184;120;120;5;5;299;1;3;1;118;104;14;2.81;0;.881;61
5710;8;8;2;2;120;2;0;0;39;36;3;1.50;0;.923;70
