Game Id;PlayerId;TeamId;Game Rating;SA;GA;SV;SV%;TOI;PIM
7288;4960;0;70;39;5;34;.872;3545300;0
7288;2959;3;0;0;0;0;.00nan;0;0
7262;4142;120;96;19;0;19;1.000;3600000;0
7262;4048;118;0;0;0;0;.00nan;0;0
7262;5060;118;86;14;0;14;1.000;3600000;0
7262;4958;120;0;0;0;0;.00nan;0;0
7259;4616;119;0;0;0;0;.00nan;0;0
7259;3679;121;98;21;0;21;1.000;3600000;0
7259;4621;121;0;0;0;0;.00nan;0;0
7259;5103;119;77;22;1;21;.955;3570700;0
7274;3955;8;70;21;2;19;.905;3600000;0
7274;3139;10;0;0;0;0;.00nan;0;0
7274;5090;8;0;0;0;0;.00nan;0;0
7274;5106;10;50;12;2;10;.833;3600000;0
7663;4616;119;0;0;0;0;.00nan;0;0
7663;3679;121;41;19;4;15;.789;3549050;0
7663;4621;121;0;0;0;0;.00nan;0;0
7663;5103;119;66;21;2;19;.905;3600000;0
7283;4343;5;23;21;6;15;.714;3600000;0
7283;4472;123;0;0;0;0;.00nan;0;0
7283;4603;123;87;32;2;30;.938;3600000;0
7283;4379;5;0;0;0;0;.00nan;0;0
7305;4598;9;35;21;5;16;.762;3600000;0
7305;4150;0;43;3;1;2;.667;371050;0
7305;4960;0;39;30;6;24;.800;3157300;0
7305;2961;9;0;0;0;0;.00nan;0;0
7677;4343;5;0;0;0;0;.00nan;0;0
7677;4142;120;48;29;5;24;.828;3600000;0
7677;4958;120;0;0;0;0;.00nan;0;0
7677;4379;5;77;9;0;9;1.000;3600000;0
7319;4598;9;74;31;3;28;.903;3600000;0
7319;4933;122;100;27;0;27;1.000;3600000;0
7319;4051;122;0;0;0;0;.00nan;0;0
7319;2961;9;0;0;0;0;.00nan;0;0
7664;3955;8;0;0;0;0;.00nan;0;0
7664;3139;10;0;0;0;0;.00nan;0;0
7664;5090;8;63;25;3;22;.880;3600000;0
7664;5106;10;53;27;4;23;.852;3551300;0
7263;4472;123;0;0;0;0;.00nan;0;0
7263;4603;123;66;27;3;24;.889;3546150;0
7263;4616;119;0;0;0;0;.00nan;0;0
7263;5103;119;69;22;2;20;.909;3600000;0
7285;3955;8;77;32;3;29;.906;3575600;0
7285;4735;3;70;17;1;16;.941;3600000;0
7285;5090;8;0;0;0;0;.00nan;0;0
7285;2959;3;0;0;0;0;.00nan;0;0
7264;4472;123;86;33;2;31;.939;3542800;0
7264;4048;118;0;0;0;0;.00nan;0;0
7264;5060;118;75;19;1;18;.947;3600000;0
7264;4603;123;0;0;0;0;.00nan;0;0
7552;3541;121;0;0;0;0;.00nan;0;0
7552;4343;5;72;23;2;21;.913;3600000;0
7552;3679;121;75;39;4;35;.897;3600000;0
7552;4379;5;0;0;0;0;.00nan;0;0
7265;4142;120;100;22;0;22;1.000;3600000;0
7265;4616;119;0;0;0;0;.00nan;0;0
7265;4958;120;0;0;0;0;.00nan;0;0
7265;5103;119;62;25;3;22;.880;3600000;0
7286;4150;0;80;23;2;21;.913;3600000;0
7286;3139;10;0;0;0;0;.00nan;0;0
7286;4960;0;0;0;0;0;.00nan;0;0
7286;5106;10;70;29;3;26;.897;3591750;0
7279;4598;9;84;25;1;24;.960;3600000;0
7279;4933;122;66;33;4;29;.879;3600000;0
7279;4051;122;0;0;0;0;.00nan;0;0
7279;2961;9;0;0;0;0;.00nan;0;0
7275;3541;121;0;0;0;0;.00nan;0;0
7275;4048;118;0;0;0;0;.00nan;0;0
7275;5060;118;83;12;0;12;1.000;3600000;0
7275;3679;121;86;14;0;14;1.000;3600000;0
7298;3955;8;0;0;0;0;.00nan;0;0
7298;4150;0;0;0;0;0;.00nan;0;0
7298;4960;0;79;26;2;24;.923;3600000;0
7298;5090;8;75;38;4;34;.895;3512650;0
7361;4343;5;0;0;0;0;.00nan;0;0
7361;4472;123;0;0;0;0;.00nan;0;0
7361;4603;123;87;32;2;30;.938;3600000;0
7361;4379;5;52;13;2;11;.846;3600000;0
7269;4933;122;63;18;2;16;.889;3600000;0
7269;4051;122;0;0;0;0;.00nan;0;0
7269;4616;119;0;0;0;0;.00nan;0;0
7269;5103;119;57;16;2;14;.875;3600000;0
7295;4598;9;100;44;2;42;.955;3600000;0
7295;4735;3;67;21;2;19;.905;3600000;0
7295;2959;3;0;0;0;0;.00nan;0;0
7295;2961;9;0;0;0;0;.00nan;0;0
7325;4142;120;70;21;2;19;.905;3600000;0
7325;4933;122;79;28;2;26;.929;3600000;0
7325;4051;122;0;0;0;0;.00nan;0;0
7325;4958;120;0;0;0;0;.00nan;0;0
7302;3955;8;91;35;3;32;.914;3527500;0
7302;4150;0;84;25;1;24;.960;3600000;0
7302;4960;0;0;0;0;0;.00nan;0;0
7302;5090;8;0;0;0;0;.00nan;0;0
7300;4598;9;0;0;0;0;.00nan;0;0
7300;3139;10;0;0;0;0;.00nan;0;0
7300;5106;10;76;24;2;22;.917;3543950;0
7300;2961;9;82;12;0;12;1.000;3600000;0
7277;4142;120;58;14;2;12;.857;3600000;0
7277;4048;118;0;0;0;0;.00nan;0;0
7277;5060;118;79;27;2;25;.926;3600000;0
7277;4958;120;0;0;0;0;.00nan;0;0
7553;3541;121;0;0;0;0;.00nan;0;0
7553;4343;5;66;15;1;14;.933;3600000;0
7553;3679;121;41;32;6;26;.813;3600000;0
7553;4379;5;0;0;0;0;.00nan;0;0
7296;4735;3;73;24;2;22;.917;3600000;0
7296;3139;10;0;0;0;0;.00nan;0;0
7296;5106;10;72;30;3;27;.900;3569500;0
7296;2959;3;0;0;0;0;.00nan;0;0
7669;4343;5;0;0;0;0;.00nan;0;0
7669;4598;9;96;48;3;45;.938;3557450;0
7669;4379;5;75;19;1;18;.947;3600000;0
7669;2961;9;0;0;0;0;.00nan;0;0
7688;3955;8;0;0;0;0;.00nan;0;0
7688;4150;0;28;12;4;8;.667;3528500;0
7688;4960;0;0;0;0;0;.00nan;0;0
7688;5090;8;90;33;2;31;.939;3600000;0
7684;4472;123;57;22;3;19;.864;3538100;0
7684;4933;122;73;19;1;18;.947;3600000;0
7684;4051;122;0;0;0;0;.00nan;0;0
7684;4603;123;0;0;0;0;.00nan;0;0
7309;3541;121;0;0;0;0;.00nan;0;0
7309;3955;8;72;24;2;22;.917;3529950;0
7309;3679;121;63;13;1;12;.923;3600000;0
7309;5090;8;0;0;0;0;.00nan;0;0
7583;4735;3;0;0;0;0;.00nan;0;0
7583;4616;119;0;0;0;0;.00nan;0;0
7583;5103;119;63;26;3;23;.885;3600000;0
7583;2959;3;80;10;0;10;1.000;3600000;0
7337;4472;123;52;19;3;16;.842;3600000;0
7337;4933;122;47;21;4;17;.810;3561450;0
7337;4051;122;0;0;0;0;.00nan;0;0
7337;4603;123;0;0;0;0;.00nan;0;0
7315;4735;3;67;21;2;19;.905;3600000;0
7315;3139;10;0;0;0;0;.00nan;0;0
7315;5106;10;74;24;2;22;.917;3600000;0
7315;2959;3;0;0;0;0;.00nan;0;0
7272;4142;120;39;19;4;15;.789;3586000;0
7272;4616;119;0;0;0;0;.00nan;0;0
7272;4958;120;0;0;0;0;.00nan;0;0
7272;5103;119;54;20;3;17;.850;3600000;0
7307;4343;5;50;24;4;20;.833;3600000;0
7307;4150;0;0;0;0;0;.00nan;0;0
7307;4960;0;46;28;5;23;.821;3597200;0
7307;4379;5;0;0;0;0;.00nan;0;0
7323;4598;9;0;0;0;0;.00nan;0;0
7323;4150;0;52;17;3;14;.824;3600000;0
7323;4960;0;0;0;0;0;.00nan;0;0
7323;2961;9;29;25;6;19;.760;3600000;0
7308;4343;5;61;19;2;17;.895;3161800;0
7308;3955;8;0;0;0;0;.00nan;0;0
7308;5090;8;92;28;1;27;.964;3600000;0
7308;4379;5;14;5;4;1;.200;438200;0
7665;3541;121;0;0;0;0;.00nan;0;0
7665;4933;122;60;21;3;18;.857;3600000;0
7665;4051;122;0;0;0;0;.00nan;0;0
