TeamId;LeagueId;Name;Nickname;Abbr;Parent Team 1;Parent Team 2;Parent Team 3;Parent Team 4;Parent Team 5;Parent Team 6;Parent Team 7;Parent Team 8;Primary Color;Secondary Color;Text Color;Conference Id;Division Id
96;5;Australia;;AUS;-1;-1;-1;-1;-1;-1;-1;-1;#000000;#000000;#fefef4;-1;-1
118;0;Los Angeles;Kings;LAK;-1;-1;-1;-1;-1;-1;-1;-1;#582c83;#ffc72c;#fefef4;-1;1
119;0;Minnesota;North Stars;MIN;-1;-1;-1;-1;-1;-1;-1;-1;#009639;#ffd100;#fefef4;-1;1
120;0;Oakland;Seals;OAK;-1;-1;-1;-1;-1;-1;-1;-1;#046a38;#0033a0;#fefef4;-1;1
121;0;Philadelphia;Flyers;PHI;-1;-1;-1;-1;-1;-1;-1;-1;#ff671f;#000000;#fefef4;-1;1
122;0;Pittsburgh;Penguins;PIT;-1;-1;-1;-1;-1;-1;-1;-1;#41b6e6;#00205b;#fefef4;-1;1
123;0;St. Louis;Blues;STL;-1;-1;-1;-1;-1;-1;-1;-1;#003087;#003087;#fedb00;-1;1
124;3;Independent;Team;Ind;-1;-1;-1;-1;-1;-1;-1;-1;#3052b4;#fefef4;#f9b300;-1;0
125;3;Independent;Team;Ind;-1;-1;-1;-1;-1;-1;-1;-1;#000000;#000000;#fefef4;-1;0
126;3;Independent;Team;Ind;-1;-1;-1;-1;-1;-1;-1;-1;#3d924e;#3d924e;#fefef4;-1;0
127;3;Independent;Team;Ind;-1;-1;-1;-1;-1;-1;-1;-1;#006200;#006200;#ffc620;-1;2
128;3;Independent;Team;Ind;-1;-1;-1;-1;-1;-1;-1;-1;#000000;#000000;#fefef4;-1;0
129;3;Independent;Team;Ind;-1;-1;-1;-1;-1;-1;-1;-1;#000000;#000000;#fefef4;-1;0
