award_rank,race_finish,viewer,driver,ap_awarded,ap_balance,kind
1,1,Randy,Randy,10,10,race
2,2,Mcdoublehero,Mcdoublehero,9,9,race
3,3,Connor,Connor,8,8,race
4,4,Starv,Starv,7,7,race
5,5,Lilboiloui,Lilboiloui,6,6,race
6,6,Thinkblue,Thinkblue,5,5,race
7,7,Scubasteve,Scubasteve,4,4,race
8,8,GreedyFish,GreedyFish,3,3,race
9,9,Wombat,Wombat,2,2,race
10,10,Stlrs,Stlrs,1,1,race
