rank,driver,points,races,wins,best_finish,average_finish
1,Joey,43,2,1,1,1.50
2,Oilempire,40,2,1,1,2.00
3,Senpai,37,3,1,1,6.67
4,Randy,32,3,0,2,5.00
5,Connor,20,2,0,4,5.00
6,Taggart,18,1,0,2,2.00
7,Lilboiloui,16,3,0,4,7.33
8,Mcdoublehero,15,2,0,3,7.00
9,Starv,15,2,0,3,9.00
10,Campbell,14,2,0,5,6.50
11,GreedyFish,14,2,0,6,6.50
12,Skyvendrake,10,2,0,5,9.50
13,Faarmerryan,10,2,0,7,7.50
14,BoiledEgg,8,1,0,6,6.00
15,Min,6,2,0,7,12.00
16,Thinkblue,2,2,0,10,10.00
17,MachoMike,0,3,0,9,15.67
18,Yammyhotspur,0,3,0,10,11.67
19,Fkncommish,0,2,0,11,15.50
20,Parchie,0,3,0,11,16.00
21,Nick,0,1,0,12,12.00
22,Blazed,0,2,0,12,13.00
23,Choog,0,1,0,13,13.00
24,CmdrRENhoek,0,2,0,13,14.00
25,Mrmuffn,0,3,0,14,16.00
26,Scubasteve,0,1,0,16,16.00
27,Caper,0,2,0,16,16.50
28,Wardo,0,1,0,18,18.00
29,RJ,0,2,0,18,19.00
30,Stlrs,0,1,0,19,19.00
31,Kings,0,0,0,0,0.00
32,Wombat,0,0,0,0,0.00
