award_rank,race_finish,viewer,driver,ap_awarded,ap_balance,kind
1,1,Joey_BOWL,Joey,10,10,race
2,2,ClutchRandy,Randy,9,9,race
3,3,OilEmpireGaming,Oilempire,8,8,race
4,4,Lilboiloui,Lilboiloui,7,7,race
5,5,Skyvendrake,Skyvendrake,6,6,race
6,6,Connor,Connor,5,5,race
7,7,GreedyFish,GreedyFish,4,4,race
8,8,Faarmerryan,Faarmerryan,3,3,race
