viewer,formula_ap,awards,finishes
Taggart,23,3,3
Joey_BOWL,19,2,2
OilEmpireGaming,18,2,2
Senpai,17,2,2
GreedyFish,16,3,3
Randy,16,2,2
Starv,16,2,2
Connor,14,2,2
Faarmerryan,14,3,3
Mcdoublehero,11,2,2
Min,11,2,2
Blazed,9,2,2
ClutchRandy,9,1,1
Lilboiloui,9,2,2
CmdrRENhoek,8,1,1
Skyvendrake,8,2,2
Caper,6,1,1
Scubasteve,6,1,1
Choog,5,1,1
Campbell,3,1,1
Mrmuffn,3,1,1
BoiledEgg,1,1,1
Nick,1,1,1
Thinkblue,1,1,1
