position,number,driver,rolls,finish_gear,finish_roll,overshoot,wear,qualified
1,92,Blazed,19,5,14,9,16,true
2,27,Taggart,21,4,11,0,16,true
3,15,Min,22,4,12,11,12,true
4,16,CmdrRENhoek,22,4,9,6,18,true
5,29,Wombat,22,3,8,2,16,true
6,9,Mcdoublehero,22,4,8,1,18,true
7,24,Skyvendrake,22,3,8,1,14,true
8,4,GreedyFish,23,5,20,16,18,true
9,26,Stlrs,23,4,10,7,14,true
10,3,Faarmerryan,23,4,8,5,14,true
11,67,Randy,23,4,9,2,14,true
12,39,Wardo,24,4,12,6,16,true
13,14,Mrmuffn,24,3,7,5,16,true
14,66,Nick,24,4,12,1,16,true
15,32,BoiledEgg,24,3,7,1,15,true
16,1,Choog,24,3,7,0,18,true
17,22,Scubasteve,24,3,6,0,16,true
18,21,Senpai,24,3,6,0,18,true
19,31,RJ,25,4,10,8,13,true
20,36,Oilempire,25,4,10,8,16,true
21,6,MachoMike,25,4,10,7,16,false
22,10,Caper,25,3,7,5,14,false
23,12,Lilboiloui,25,4,7,4,16,false
24,33,Joey,25,3,7,1,14,false
25,7,Fkncommish,26,3,8,2,16,false
26,19,Connor,26,3,6,2,18,false
27,25,Starv,26,3,8,1,14,false
28,28,Thinkblue,27,3,7,1,16,false
29,2,Campbell,28,4,10,9,15,false
30,17,Yammyhotspur,28,4,8,6,18,false
31,5,Parchie,30,3,8,6,17,false
