award_rank,race_finish,viewer,driver,ap_awarded,ap_balance,kind
1,1,OilEmpireGaming,Oilempire,10,18,race
2,2,Joey_BOWL,Joey,9,19,race
3,3,Mcdoublehero,Mcdoublehero,8,8,race
4,4,Senpai,Senpai,7,7,race
5,5,Randy,Randy,6,6,race
6,6,GreedyFish,GreedyFish,5,9,race
7,7,Min,Min,4,4,race
8,8,Campbell,Campbell,3,3,race
9,9,Lilboiloui,Lilboiloui,2,9,race
10,10,Thinkblue,Thinkblue,1,1,race
