viewer,formula_ap,awards,finishes
Oilempire,10,1,1
Mrmuffn,9,1,1
Yammyhotspur,8,1,1
Caper,7,1,1
Connor,6,1,1
Campbell,5,1,1
Taggart,4,1,1
Nick,3,1,1
Mcdoublehero,2,1,1
