rank,driver,points,races,wins,best_finish,average_finish
1,Joey,43,2,1,1,1.50
2,Oilempire,40,2,1,1,2.00
3,Randy,28,2,0,2,3.50
4,Mcdoublehero,15,2,0,3,7.00
5,Lilboiloui,14,2,0,4,6.50
6,GreedyFish,14,2,0,6,6.50
7,Senpai,12,2,0,4,9.50
8,Skyvendrake,10,1,0,5,5.00
9,Connor,8,1,0,6,6.00
10,Min,6,1,0,7,7.00
11,Campbell,4,1,0,8,8.00
12,Faarmerryan,4,1,0,8,8.00
13,Thinkblue,1,1,0,10,10.00
14,MachoMike,0,2,0,9,14.00
15,Yammyhotspur,0,2,0,10,11.00
16,Fkncommish,0,2,0,11,15.50
17,Nick,0,1,0,12,12.00
18,Choog,0,1,0,13,13.00
19,CmdrRENhoek,0,1,0,13,13.00
20,Blazed,0,1,0,14,14.00
21,Mrmuffn,0,2,0,14,16.00
22,Starv,0,1,0,15,15.00
23,Scubasteve,0,1,0,16,16.00
24,Caper,0,2,0,16,16.50
25,Parchie,0,2,0,17,18.50
26,RJ,0,1,0,18,18.00
27,Stlrs,0,1,0,19,19.00
28,BoiledEgg,0,0,0,0,0.00
29,Kings,0,0,0,0,0.00
30,Taggart,0,0,0,0,0.00
31,Wardo,0,0,0,0,0.00
32,Wombat,0,0,0,0,0.00
