rank,driver,points,races,wins,best_finish,average_finish
1,Oilempire,25,1,1,1,1.00
2,Mrmuffn,18,1,0,2,2.00
3,Yammyhotspur,15,1,0,3,3.00
4,Caper,12,1,0,4,4.00
5,Connor,10,1,0,5,5.00
6,Campbell,8,1,0,6,6.00
7,Taggart,6,1,0,7,7.00
8,Nick,4,1,0,8,8.00
9,Mcdoublehero,2,1,0,9,9.00
10,Wombat,1,1,0,10,10.00
11,Blazed,0,0,0,0,0.00
12,BoiledEgg,0,0,0,0,0.00
13,Choog,0,0,0,0,0.00
14,CmdrRENhoek,0,0,0,0,0.00
15,Faarmerryan,0,0,0,0,0.00
16,Fkncommish,0,0,0,0,0.00
17,GreedyFish,0,0,0,0,0.00
18,Joey,0,0,0,0,0.00
19,Lilboiloui,0,0,0,0,0.00
20,MachoMike,0,0,0,0,0.00
21,Min,0,0,0,0,0.00
22,Parchie,0,0,0,0,0.00
23,RJ,0,0,0,0,0.00
24,Randy,0,0,0,0,0.00
25,Scubasteve,0,0,0,0,0.00
26,Senpai,0,0,0,0,0.00
27,Skyvendrake,0,0,0,0,0.00
28,Starv,0,0,0,0,0.00
29,Stlrs,0,0,0,0,0.00
30,Thinkblue,0,0,0,0,0.00
31,Wardo,0,0,0,0,0.00
