race,track,position,grid_start,number,driver,controller,gear,wear,lap,finished,eliminated,summary
1,Andurin,1,2,67,Randy,AI,2,17,0,true,false,FINISHED L0
1,Andurin,2,1,9,Mcdoublehero,AI,2,18,0,true,false,FINISHED L0
1,Andurin,3,5,19,Connor,AI,2,16,0,true,false,FINISHED L0
1,Andurin,4,6,25,Starv,AI,2,18,0,true,false,FINISHED L0
1,Andurin,5,10,12,Lilboiloui,AI,1,15,0,true,false,FINISHED L0
1,Andurin,6,11,28,Thinkblue,AI,1,14,0,true,false,FINISHED L0
1,Andurin,7,12,22,Scubasteve,AI,1,15,0,true,false,FINISHED L0
1,Andurin,8,13,4,GreedyFish,AI,1,14,0,true,false,FINISHED L0
1,Andurin,9,14,29,Wombat,AI,1,12,0,true,false,FINISHED L0
1,Andurin,10,15,26,Stlrs,AI,1,15,0,true,false,FINISHED L0
1,Andurin,11,16,32,BoiledEgg,AI,1,15,0,true,false,FINISHED L0
1,Andurin,12,17,27,Taggart,AI,1,16,0,true,false,FINISHED L0
1,Andurin,13,18,16,CmdrRENhoek,AI,1,16,0,true,false,FINISHED L0
1,Andurin,14,19,39,Wardo,AI,1,17,0,true,false,FINISHED L0
1,Andurin,15,20,3,Faarmerryan,AI,1,17,0,true,false,FINISHED L0
1,Andurin,16,3,31,RJ,AI,1,18,0,true,false,FINISHED L0
1,Andurin,17,4,17,Yammyhotspur,AI,1,15,0,true,false,FINISHED L0
1,Andurin,18,7,33,Joey,AI,2,18,0,true,false,FINISHED L0
1,Andurin,19,8,2,Campbell,AI,1,18,0,true,false,FINISHED L0
1,Andurin,20,9,24,Skyvendrake,AI,1,18,0,true,false,FINISHED L0
