rank,driver,points,races,wins,best_finish,average_finish
1,Randy,25,1,1,1,1.00
2,Mcdoublehero,18,1,0,2,2.00
3,Connor,15,1,0,3,3.00
4,Starv,12,1,0,4,4.00
5,Lilboiloui,10,1,0,5,5.00
6,Thinkblue,8,1,0,6,6.00
7,Scubasteve,6,1,0,7,7.00
8,GreedyFish,4,1,0,8,8.00
9,Wombat,2,1,0,9,9.00
10,Stlrs,1,1,0,10,10.00
11,BoiledEgg,0,1,0,11,11.00
12,Taggart,0,1,0,12,12.00
13,CmdrRENhoek,0,1,0,13,13.00
14,Wardo,0,1,0,14,14.00
15,Faarmerryan,0,1,0,15,15.00
16,RJ,0,1,0,16,16.00
17,Yammyhotspur,0,1,0,17,17.00
18,Joey,0,1,0,18,18.00
19,Campbell,0,1,0,19,19.00
20,Skyvendrake,0,1,0,20,20.00
21,Blazed,0,0,0,0,0.00
22,Caper,0,0,0,0,0.00
23,Choog,0,0,0,0,0.00
24,Fkncommish,0,0,0,0,0.00
25,MachoMike,0,0,0,0,0.00
26,Min,0,0,0,0,0.00
27,Mrmuffn,0,0,0,0,0.00
28,Nick,0,0,0,0,0.00
29,Oilempire,0,0,0,0,0.00
30,Parchie,0,0,0,0,0.00
31,Senpai,0,0,0,0,0.00
