viewer,formula_ap,awards,finishes
Randy,10,1,1
Mcdoublehero,9,1,1
Connor,8,1,1
Starv,7,1,1
Lilboiloui,6,1,1
Thinkblue,5,1,1
Scubasteve,4,1,1
GreedyFish,3,1,1
Wombat,2,1,1
Stlrs,1,1,1
