rank,driver,points,races,wins,best_finish,average_finish
1,Joey,25,1,1,1,1
2,Randy,18,1,0,2,2
3,Oilempire,15,1,0,3,3
4,Lilboiloui,12,1,0,4,4
5,Skyvendrake,10,1,0,5,5
6,Connor,8,1,0,6,6
7,GreedyFish,6,1,0,7,7
8,Faarmerryan,4,1,0,8,8
9,MachoMike,0,1,0,9,9
10,Yammyhotspur,0,1,0,10,10
11,Mcdoublehero,0,1,0,11,11
12,Nick,0,1,0,12,12
13,Choog,0,1,0,13,13
14,Mrmuffn,0,1,0,14,14
15,Senpai,0,1,0,15,15
16,Caper,0,1,0,16,16
17,Parchie,0,1,0,17,17
18,RJ,0,1,0,18,18
19,Stlrs,0,1,0,19,19
20,Fkncommish,0,1,0,20,20
21,Blazed,0,0,0,0,0
22,BoiledEgg,0,0,0,0,0
23,Campbell,0,0,0,0,0
24,CmdrRENhoek,0,0,0,0,0
25,Min,0,0,0,0,0
26,Scubasteve,0,0,0,0,0
27,Starv,0,0,0,0,0
28,Taggart,0,0,0,0,0
29,Thinkblue,0,0,0,0,0
30,Wardo,0,0,0,0,0
31,Wombat,0,0,0,0,0
