award_rank,race_finish,viewer,driver,ap_awarded,ap_balance,kind
1,1,Randy,Randy,10,16,race
2,2,Faarmerryan,Faarmerryan,9,14,race
3,3,CmdrRENhoek,CmdrRENhoek,8,8,race
4,4,GreedyFish,GreedyFish,7,16,race
5,5,Scubasteve,Scubasteve,6,6,race
6,6,Blazed,Blazed,5,9,race
7,7,Taggart,Taggart,4,23,race
8,8,Mrmuffn,Mrmuffn,3,3,race
9,9,Skyvendrake,Skyvendrake,2,8,race
10,10,Nick,Nick,1,1,race
