viewer,formula_ap,awards,finishes
Joey_BOWL,10,1,1
ClutchRandy,9,1,1
OilEmpireGaming,8,1,1
Lilboiloui,7,1,1
Skyvendrake,6,1,1
Connor,5,1,1
GreedyFish,4,1,1
Faarmerryan,3,1,1
