race,track,position,grid_start,number,driver,controller,gear,wear,lap,finished,eliminated,summary
1,Valencia,1,12,33,Joey,Joey_BOWL,3,10,2,true,false,FINISHED L2
1,Valencia,2,10,67,Randy,ClutchRandy,6,9,2,true,false,FINISHED L2
1,Valencia,3,8,36,Oilempire,OilEmpireGaming,6,8,2,true,false,FINISHED L2
1,Valencia,4,2,12,Lilboiloui,AI,4,5,2,true,false,FINISHED L2
1,Valencia,5,15,24,Skyvendrake,AI,4,3,2,true,false,FINISHED L2
1,Valencia,6,16,19,Connor,AI,4,8,2,true,false,FINISHED L2
1,Valencia,7,1,4,GreedyFish,AI,4,12,2,true,false,FINISHED L2
1,Valencia,8,14,3,Faarmerryan,AI,2,6,2,true,false,FINISHED L2
1,Valencia,9,20,6,MachoMike,AI,4,0,1,false,true,OUT (wear)
1,Valencia,10,3,17,Yammyhotspur,AI,4,0,1,false,true,OUT (wear)
1,Valencia,11,13,9,Mcdoublehero,AI,1,0,1,false,true,OUT (wear)
1,Valencia,12,4,66,Nick,AI,2,0,1,false,true,OUT (wear)
1,Valencia,13,11,1,Choog,AI,1,0,0,false,true,OUT (wear)
1,Valencia,14,7,14,Mrmuffn,AI,1,0,0,false,true,OUT (wear)
1,Valencia,15,6,21,Senpai,AI,4,0,1,false,true,OUT (wear)
1,Valencia,16,18,10,Caper,AI,1,0,0,false,true,OUT (wear)
1,Valencia,17,17,5,Parchie,AI,1,0,0,false,true,OUT (wear)
1,Valencia,18,9,31,RJ,AI,2,0,0,false,true,OUT (wear)
1,Valencia,19,19,26,Stlrs,AI,1,0,0,false,true,OUT (wear)
1,Valencia,20,5,7,Fkncommish,AI,2,0,0,false,true,OUT (wear)
2,Puertorico,1,3,36,Oilempire,OilEmpireGaming,6,0,2,true,true,OUT (wear)
2,Puertorico,2,10,33,Joey,Joey_BOWL,6,12,2,true,false,FINISHED L2
2,Puertorico,3,1,9,Mcdoublehero,AI,4,2,2,true,false,FINISHED L2
2,Puertorico,4,7,21,Senpai,AI,4,5,2,true,false,FINISHED L2
2,Puertorico,5,5,67,Randy,AI,4,3,2,true,false,FINISHED L2
2,Puertorico,6,9,4,GreedyFish,AI,4,4,2,true,false,FINISHED L2
2,Puertorico,7,12,15,Min,AI,5,10,2,true,false,FINISHED L2
2,Puertorico,8,13,2,Campbell,AI,5,12,2,true,false,FINISHED L2
2,Puertorico,9,2,12,Lilboiloui,AI,4,3,2,true,false,FINISHED L2
2,Puertorico,10,14,28,Thinkblue,AI,4,5,2,true,false,FINISHED L2
2,Puertorico,11,20,7,Fkncommish,AI,4,5,2,true,false,FINISHED L2
2,Puertorico,12,8,17,Yammyhotspur,AI,3,0,1,false,true,OUT (wear)
2,Puertorico,13,6,16,CmdrRENhoek,AI,4,0,1,false,true,OUT (wear)
2,Puertorico,14,15,92,Blazed,AI,1,0,1,false,true,OUT (wear)
2,Puertorico,15,11,25,Starv,AI,1,0,1,false,true,OUT (wear)
2,Puertorico,16,17,22,Scubasteve,AI,4,0,1,false,true,OUT (wear)
2,Puertorico,17,4,10,Caper,AI,4,0,0,false,true,OUT (wear)
2,Puertorico,18,18,14,Mrmuffn,AI,3,0,0,false,true,OUT (wear)
2,Puertorico,19,16,6,MachoMike,AI,1,0,0,false,true,OUT (wear)
2,Puertorico,20,19,5,Parchie,AI,4,0,0,false,true,OUT (wear)
