position,number,driver,rolls,finish_gear,finish_roll,overshoot,wear,qualified
1,27,Taggart,49,4,7,3,5,true
2,14,Mrmuffn,49,6,30,1,2,true
3,4,GreedyFish,50,5,17,6,6,true
4,6,MachoMike,50,5,13,1,9,true
5,32,BoiledEgg,50,6,30,0,13,true
6,10,Caper,51,4,12,9,1,true
7,15,Min,51,5,13,2,4,true
8,19,Connor,51,4,8,0,6,true
9,9,Mcdoublehero,52,4,12,11,6,true
10,3,Faarmerryan,52,4,10,9,4,true
11,25,Starv,52,6,27,3,4,true
12,92,Blazed,53,4,11,9,6,true
13,16,CmdrRENhoek,53,4,8,7,4,true
14,26,Stlrs,53,4,8,5,6,true
15,36,Oilempire,53,5,18,2,5,true
16,1,Choog,54,5,20,9,10,true
17,7,Fkncommish,54,4,7,6,6,true
18,29,Wombat,54,5,20,0,6,true
19,21,Senpai,57,4,7,6,8,true
20,67,Randy,57,5,15,4,9,true
21,2,Campbell,57,5,11,0,5,false
22,17,Yammyhotspur,58,4,8,6,8,false
23,39,Wardo,58,5,20,2,6,false
24,31,RJ,59,5,18,7,8,false
25,22,Scubasteve,59,5,15,0,8,false
26,33,Joey,60,4,12,11,3,false
27,28,Thinkblue,60,4,10,9,2,false
28,5,Parchie,60,5,13,0,8,false
29,24,Skyvendrake,61,4,11,9,12,false
30,66,Nick,61,5,18,4,12,false
31,12,Lilboiloui,63,4,8,7,11,false
