award_rank,race_finish,viewer,driver,ap_awarded,ap_balance,kind
1,1,Taggart,Taggart,10,19,race
2,2,Connor,Connor,9,14,race
3,3,Starv,Starv,8,16,race
4,4,Min,Min,7,11,race
5,5,Caper,Caper,6,6,race
6,6,Choog,Choog,5,5,race
7,7,Blazed,Blazed,4,4,race
8,8,Mcdoublehero,Mcdoublehero,3,11,race
9,9,Faarmerryan,Faarmerryan,2,5,race
10,10,BoiledEgg,BoiledEgg,1,1,race
