position,number,driver,rolls,finish_gear,finish_roll,overshoot,wear,qualified
1,9,Mcdoublehero,17,5,20,19,4,true
2,67,Randy,17,6,30,9,5,true
3,31,RJ,17,6,28,4,7,true
4,17,Yammyhotspur,18,6,29,25,10,true
5,19,Connor,18,6,26,18,11,true
6,25,Starv,18,5,16,15,8,true
7,33,Joey,18,6,29,7,1,true
8,2,Campbell,19,6,30,21,11,true
9,24,Skyvendrake,19,6,21,14,10,true
10,12,Lilboiloui,19,5,17,10,9,true
11,28,Thinkblue,19,5,12,6,10,true
12,22,Scubasteve,19,5,11,6,9,true
13,4,GreedyFish,20,6,29,28,6,true
14,29,Wombat,20,6,25,22,9,true
15,26,Stlrs,20,6,29,21,10,true
16,32,BoiledEgg,20,6,28,20,13,true
17,27,Taggart,20,6,24,16,12,true
18,16,CmdrRENhoek,20,5,15,7,9,true
19,39,Wardo,20,5,13,4,10,true
20,3,Faarmerryan,20,4,12,4,7,true
21,6,MachoMike,20,4,9,2,8,false
22,15,Min,21,6,26,21,10,false
23,66,Nick,21,6,23,17,9,false
24,36,Oilempire,21,4,10,5,9,false
25,5,Parchie,21,3,8,1,8,false
26,21,Senpai,21,4,8,0,11,false
27,1,Choog,22,6,24,16,10,false
28,10,Caper,22,5,14,7,10,false
29,7,Fkncommish,22,3,6,1,8,false
30,92,Blazed,23,4,10,5,10,false
31,14,Mrmuffn,25,3,5,0,7,false
