viewer,formula_ap,awards,finishes
Joey_BOWL,19,2,2
Taggart,19,2,2
OilEmpireGaming,18,2,2
Senpai,17,2,2
Starv,16,2,2
Connor,14,2,2
Mcdoublehero,11,2,2
Min,11,2,2
ClutchRandy,9,1,1
GreedyFish,9,2,2
Lilboiloui,9,2,2
Caper,6,1,1
Randy,6,1,1
Skyvendrake,6,1,1
Choog,5,1,1
Faarmerryan,5,2,2
Blazed,4,1,1
Campbell,3,1,1
BoiledEgg,1,1,1
Thinkblue,1,1,1
