position,number,driver,rolls,finish_gear,finish_roll,overshoot,wear,qualified
1,4,GreedyFish,18,5,12,5,11,true
2,12,Lilboiloui,19,5,11,6,14,true
3,17,Yammyhotspur,20,5,20,0,14,true
4,66,Nick,21,6,26,18,15,true
5,7,Fkncommish,21,5,18,13,15,true
6,21,Senpai,21,5,12,8,12,true
7,14,Mrmuffn,21,5,19,2,12,true
8,36,Oilempire,21,3,7,2,8,true
9,31,RJ,22,6,29,23,13,true
10,67,Randy,22,5,18,14,15,true
11,1,Choog,22,4,11,9,14,true
12,33,Joey,22,4,11,8,15,true
13,9,Mcdoublehero,22,4,11,7,11,true
14,3,Faarmerryan,22,5,15,1,14,true
15,24,Skyvendrake,22,5,19,0,13,true
16,19,Connor,23,6,30,24,13,true
17,5,Parchie,23,6,24,12,10,true
18,10,Caper,23,5,18,6,6,true
19,26,Stlrs,24,5,20,15,12,true
20,6,MachoMike,24,4,11,8,7,true
21,16,CmdrRENhoek,25,4,8,7,9,false
22,15,Min,25,4,9,5,7,false
23,32,BoiledEgg,25,3,6,5,12,false
24,22,Scubasteve,25,4,9,4,14,false
25,28,Thinkblue,25,5,18,1,14,false
26,39,Wardo,26,4,10,7,12,false
27,92,Blazed,26,5,13,5,16,false
28,2,Campbell,26,4,12,3,12,false
29,27,Taggart,26,5,16,2,11,false
30,29,Wombat,27,4,10,5,12,false
31,25,Starv,31,1,2,0,6,false
