award_rank,race_finish,viewer,driver,ap_awarded,ap_balance,kind
1,1,Oilempire,Oilempire,10,10,race
2,2,Mrmuffn,Mrmuffn,9,9,race
3,3,Yammyhotspur,Yammyhotspur,8,8,race
4,4,Caper,Caper,7,7,race
5,5,Connor,Connor,6,6,race
6,6,Campbell,Campbell,5,5,race
7,7,Taggart,Taggart,4,4,race
8,8,Nick,Nick,3,3,race
9,9,Mcdoublehero,Mcdoublehero,2,2,race
