position,number,driver,rolls,finish_gear,finish_roll,overshoot,wear,qualified
1,9,Mcdoublehero,18,6,23,16,7,true
2,12,Lilboiloui,20,5,20,11,2,true
3,36,Oilempire,20,5,16,0,9,true
4,10,Caper,21,6,26,5,5,true
5,67,Randy,22,6,29,24,10,true
6,16,CmdrRENhoek,22,4,8,0,2,true
7,21,Senpai,23,6,29,24,9,true
8,17,Yammyhotspur,23,6,25,19,12,true
9,4,GreedyFish,23,6,25,8,15,true
10,33,Joey,23,4,10,5,7,true
11,25,Starv,24,3,7,3,5,true
12,15,Min,24,5,13,2,10,true
13,2,Campbell,24,3,8,1,5,true
14,28,Thinkblue,25,5,11,3,11,true
15,92,Blazed,26,4,9,7,12,true
16,6,MachoMike,26,3,8,5,6,true
17,22,Scubasteve,26,4,9,4,9,true
18,14,Mrmuffn,26,1,1,0,7,true
19,5,Parchie,27,3,8,1,7,true
20,7,Fkncommish,27,2,3,1,7,true
21,19,Connor,27,2,4,0,3,false
22,3,Faarmerryan,28,2,3,1,7,false
23,31,RJ,28,1,1,0,1,false
24,32,BoiledEgg,30,2,4,1,8,false
25,27,Taggart,32,2,3,1,5,false
26,29,Wombat,35,1,2,1,2,false
27,24,Skyvendrake,48,1,2,1,7,false
28,66,Nick,52,1,1,0,6,false
29,1,Choog,18,5,0,0,0,false
30,26,Stlrs,16,5,0,0,0,false
31,39,Wardo,17,2,0,0,0,false
