position,number,driver,rolls,finish_gear,finish_roll,overshoot,wear,qualified
1,36,Oilempire,16,6,22,0,10,true
2,19,Connor,17,6,28,7,5,true
3,14,Mrmuffn,18,6,25,23,10,true
4,2,Campbell,18,6,22,13,12,true
5,10,Caper,18,6,30,7,3,true
6,17,Yammyhotspur,18,6,27,6,5,true
7,66,Nick,18,6,25,3,4,true
8,29,Wombat,19,5,20,16,7,true
9,27,Taggart,19,5,18,10,9,true
10,9,Mcdoublehero,19,6,25,1,10,true
11,28,Thinkblue,20,5,11,8,6,false
12,67,Randy,20,5,15,6,10,false
13,15,Min,20,4,11,6,8,false
14,92,Blazed,21,6,21,12,11,false
15,26,Stlrs,21,5,20,10,11,false
16,39,Wardo,21,3,7,6,7,false
17,7,Fkncommish,21,6,28,5,5,false
18,1,Choog,21,5,11,3,10,false
19,21,Senpai,22,6,26,17,15,false
20,33,Joey,22,5,16,9,8,false
21,25,Starv,22,3,7,4,8,false
22,22,Scubasteve,22,2,4,3,5,false
23,32,BoiledEgg,22,2,2,1,7,false
24,5,Parchie,22,3,6,0,10,false
25,24,Skyvendrake,23,4,8,3,10,false
26,4,GreedyFish,23,3,6,2,9,false
27,3,Faarmerryan,24,4,10,2,9,false
28,16,CmdrRENhoek,25,2,4,3,8,false
29,6,MachoMike,27,2,4,3,8,false
30,31,RJ,45,1,2,0,7,false
31,12,Lilboiloui,16,6,0,0,0,false
