viewer,formula_ap,awards,finishes
Joey_BOWL,19,2,2
OilEmpireGaming,18,2,2
ClutchRandy,9,1,1
GreedyFish,9,2,2
Lilboiloui,9,2,2
Mcdoublehero,8,1,1
Senpai,7,1,1
Randy,6,1,1
Skyvendrake,6,1,1
Connor,5,1,1
Min,4,1,1
Campbell,3,1,1
Faarmerryan,3,1,1
Thinkblue,1,1,1
