rank,driver,points,races,wins,best_finish,average_finish
1,Randy,57,5,1,1,5.80
2,Taggart,49,3,1,1,3.33
3,Joey,43,2,1,1,1.50
4,Oilempire,40,4,1,1,10.00
5,Connor,38,3,0,2,4.00
6,Senpai,37,5,1,1,10.60
7,Faarmerryan,30,4,0,2,6.50
8,Starv,30,3,0,3,7.00
9,GreedyFish,26,4,0,4,9.25
10,Mcdoublehero,19,4,0,3,8.75
11,Min,18,4,0,4,11.25
12,Lilboiloui,16,3,0,4,7.33
13,CmdrRENhoek,15,4,0,3,10.75
14,Campbell,14,2,0,5,6.50
15,Blazed,14,4,0,6,9.75
16,Skyvendrake,12,3,0,5,9.33
17,Scubasteve,10,2,0,5,10.50
18,Caper,10,3,0,5,12.67
19,BoiledEgg,9,3,0,6,9.00
20,Choog,8,3,0,6,11.67
21,Mrmuffn,4,5,0,8,15.00
22,Thinkblue,2,2,0,10,10.00
23,Nick,1,2,0,10,11.00
24,MachoMike,0,4,0,9,14.50
25,Yammyhotspur,0,3,0,10,11.67
26,Fkncommish,0,3,0,11,15.33
27,Parchie,0,3,0,11,16.00
28,Wombat,0,2,0,12,13.00
29,RJ,0,3,0,14,17.33
30,Stlrs,0,3,0,17,18.33
31,Wardo,0,2,0,18,18.00
32,Kings,0,0,0,0,0.00
