LeagueId;Year;Award Name;Award Description;PlayerId;Retired
6;2018;Best Goaltender Award;Best Goalie;9020;0
6;2023;Best Goaltender Award;Best Goalie;2924;0
6;2024;Best Goaltender Award;Best Goalie;2924;0
6;2018;Defenceman of the Year;Best Defenceman;483;0
6;2019;Defenceman of the Year;Best Defenceman;9034;0
6;2008;Aleksei Cherepanov Award;Best Rookie;8472;0
6;2009;Aleksei Cherepanov Award;Best Rookie;8440;0
6;2012;Aleksei Cherepanov Award;Best Rookie;12829;0
6;2013;Aleksei Cherepanov Award;Best Rookie;13279;0
6;2014;Aleksei Cherepanov Award;Best Rookie;12876;0
6;2015;Aleksei Cherepanov Award;Best Rookie;12852;0
6;2017;Aleksei Cherepanov Award;Best Rookie;4402;0
6;2018;Aleksei Cherepanov Award;Best Rookie;5240;0
6;2019;Aleksei Cherepanov Award;Best Rookie;4455;0
6;2021;Aleksei Cherepanov Award;Best Rookie;1903;0
6;2023;Aleksei Cherepanov Award;Best Rookie;2804;0
6;2010;Top Sniper Award;Most Goals;8182;0
6;2014;Top Sniper Award;Most Goals;3244;0
6;2021;Top Sniper Award;Most Goals;11106;0
6;2022;Top Sniper Award;Most Goals;7775;0
6;2023;Top Sniper Award;Most Goals;1601;0
6;2024;Top Sniper Award;Most Goals;1737;0
6;2010;Top Scorer Award;Most Points;8371;0
6;2011;Top Scorer Award;Most Points;8371;0
6;2014;Top Scorer Award;Most Points;8371;0
6;2018;Top Scorer Award;Most Points;8213;0
6;2019;Top Scorer Award;Most Points;8385;0
6;2022;Top Scorer Award;Most Points;7775;0
6;2023;Top Scorer Award;Most Points;8213;0
6;2024;Top Scorer Award;Most Points;1737;0
6;2013;Best Plus-Minus Award;Highest Plus-Minus;7760;0
6;2014;Best Plus-Minus Award;Highest Plus-Minus;8371;0
6;2017;Best Plus-Minus Award;Highest Plus-Minus;12834;0
6;2018;Best Plus-Minus Award;Highest Plus-Minus;13029;0
6;2022;Best Plus-Minus Award;Highest Plus-Minus;1804;0
6;2014;Gentleman Award;Sportsmanship Award;181;0
6;2023;Top Scoring Defenceman;Top Scoring Defenceman;73;0
6;2024;Top Scoring Defenceman;Top Scoring Defenceman;1783;0
7;2020;MVP;MVP;2129;0
7;2021;MVP;MVP;2181;0
7;2022;MVP;MVP;8865;0
7;2023;MVP;MVP;16813;0
7;2024;MVP;MVP;8872;0
7;2020;Goalie of the Year;Best Goalie;10253;0
7;2021;Goalie of the Year;Best Goalie;8011;0
7;2022;Goalie of the Year;Best Goalie;17092;0
7;2023;Goalie of the Year;Best Goalie;12941;0
7;2024;Goalie of the Year;Best Goalie;12941;0
7;2020;Defenceman of the Year;Best Defenceman;14809;0
7;2022;Defenceman of the Year;Best Defenceman;2942;0
7;2023;Defenceman of the Year;Best Defenceman;16813;0
7;2020;Rookie of the Year;Best Rookie;13907;0
7;2022;Rookie of the Year;Best Rookie;12522;0
7;2023;Rookie of the Year;Best Rookie;9540;0
7;2024;Rookie of the Year;Best Rookie;8261;0
7;2020;Points Award;Most Points;980;0
7;2021;Points Award;Most Points;980;0
7;2022;Points Award;Most Points;838;0
7;2023;Points Award;Most Points;10303;0
7;2022;Forward of the Year;Forward of the Year;8865;0
7;2023;Forward of the Year;Forward of the Year;7716;0
7;2024;Forward of the Year;Forward of the Year;8872;0
8;2009;Lasse Oksanen Trophy;MVP;8404;0
8;2011;Lasse Oksanen Trophy;MVP;7342;0
8;2012;Lasse Oksanen Trophy;MVP;7331;0
8;2013;Lasse Oksanen Trophy;MVP;7407;0
8;2017;Lasse Oksanen Trophy;MVP;8932;0
8;2018;Lasse Oksanen Trophy;MVP;16443;0
8;2019;Lasse Oksanen Trophy;MVP;1602;0
8;2020;Lasse Oksanen Trophy;MVP;17066;0
8;2021;Lasse Oksanen Trophy;MVP;16410;0
8;2022;Lasse Oksanen Trophy;MVP;14868;0
8;2012;Jari Kurri Trophy ;Playoff MVP;7331;0
8;2015;Jari Kurri Trophy ;Playoff MVP;16438;0
8;2017;Jari Kurri Trophy ;Playoff MVP;8932;0
8;2018;Jari Kurri Trophy ;Playoff MVP;7396;0
8;2020;Jari Kurri Trophy ;Playoff MVP;11116;0
8;2022;Jari Kurri Trophy ;Playoff MVP;7334;0
8;2024;Jari Kurri Trophy ;Playoff MVP;13846;0
8;2012;Urpo Ylönen Trophy;Best Goalie;7331;0
8;2014;Urpo Ylönen Trophy;Best Goalie;9020;0
8;2015;Urpo Ylönen Trophy;Best Goalie;11136;0
8;2017;Urpo Ylönen Trophy;Best Goalie;15328;0
8;2018;Urpo Ylönen Trophy;Best Goalie;15328;0
8;2019;Urpo Ylönen Trophy;Best Goalie;4879;0
8;2010;Pekka Rautakallio Trophy;Best Defenceman;7467;0
8;2011;Pekka Rautakallio Trophy;Best Defenceman;7467;0
8;2012;Pekka Rautakallio Trophy;Best Defenceman;1113;0
8;2014;Pekka Rautakallio Trophy;Best Defenceman;11179;0
8;2015;Pekka Rautakallio Trophy;Best Defenceman;7448;0
8;2016;Pekka Rautakallio Trophy;Best Defenceman;8774;0
8;2018;Pekka Rautakallio Trophy;Best Defenceman;16443;0
8;2019;Pekka Rautakallio Trophy;Best Defenceman;3736;0
8;2020;Pekka Rautakallio Trophy;Best Defenceman;17066;0
8;2022;Pekka Rautakallio Trophy;Best Defenceman;11196;0
8;2008;Jarmo Wasama Trophy ;Best Rookie;345;0
8;2009;Jarmo Wasama Trophy ;Best Rookie;7368;0
8;2010;Jarmo Wasama Trophy ;Best Rookie;7440;0
8;2011;Jarmo Wasama Trophy ;Best Rookie;7442;0
