Game Id;PlayerId;TeamId;Game Rating;SA;GA;SV;SV%;TOI;PIM
44115;1247;11;66;41;5;36;.878;3255000;0
44115;1412;5;41;34;5;29;.853;3900000;0
44115;4354;5;0;0;0;0;.00nan;0;0
44115;4776;11;52;1;0;1;1.000;645000;0
44117;432;15;65;33;4;29;.879;3590000;0
44117;510;15;0;0;0;0;.00nan;0;0
44117;898;10;0;0;0;0;.00nan;0;0
44117;1381;10;73;30;3;27;.900;3600000;0
44119;662;8;1;15;7;8;.533;1605000;0
44119;1151;8;42;32;6;26;.813;1995000;0
44119;1258;14;59;23;3;20;.870;3600000;0
44119;4788;14;0;0;0;0;.00nan;0;0
44121;1278;12;83;32;2;30;.938;3600000;0
44121;1410;278;56;34;5;29;.853;3600000;0
44121;1498;12;0;0;0;0;.00nan;0;0
44121;4804;278;0;0;0;0;.00nan;0;0
44123;229;279;100;42;1;41;.976;3900000;0
44123;695;23;0;0;0;0;.00nan;0;0
44123;2563;279;0;0;0;0;.00nan;0;0
44123;5024;23;84;29;1;28;.966;3900000;0
44125;442;18;64;32;3;29;.906;3900000;0
44125;961;0;90;43;3;40;.930;3884000;0
44125;2414;18;0;0;0;0;.00nan;0;0
44125;4342;0;0;0;0;0;.00nan;0;0
44127;435;24;49;9;2;7;.778;3600000;0
44127;1190;26;33;37;7;30;.811;1859000;0
44127;2805;26;67;29;3;26;.897;1741000;0
44127;3394;24;0;0;0;0;.00nan;0;0
44129;644;9;70;45;5;40;.889;3600000;0
44129;852;9;0;0;0;0;.00nan;0;0
44129;868;22;52;14;2;12;.857;3600000;0
44129;4785;22;0;0;0;0;.00nan;0;0
44131;442;18;72;30;3;27;.900;3600000;0
44131;1247;11;46;28;5;23;.821;2893000;0
44131;2414;18;0;0;0;0;.00nan;0;0
44131;4776;11;60;9;0;9;1.000;707000;0
44133;523;3;0;0;0;0;.00nan;0;0
44133;961;0;30;40;7;33;.825;3600000;0
44133;1087;3;53;26;3;23;.885;3600000;0
44133;4342;0;0;0;0;0;.00nan;0;0
44135;662;8;0;0;0;0;.00nan;0;0
44135;1151;8;61;24;3;21;.875;3600000;0
44135;1278;12;46;5;1;4;.800;445000;0
44135;1498;12;21;23;6;17;.739;3155000;0
44137;145;280;51;16;2;14;.875;1041000;0
44137;695;23;37;26;6;20;.769;3600000;0
44137;964;280;32;31;6;25;.806;2525000;0
44137;5024;23;0;0;0;0;.00nan;0;0
44139;898;10;46;14;2;12;.857;3600000;0
44139;1381;10;0;0;0;0;.00nan;0;0
44139;2562;21;51;54;8;46;.852;3317000;0
44139;5252;21;41;2;1;1;.500;283000;0
44141;644;9;86;34;2;32;.941;3580000;0
44141;852;9;0;0;0;0;.00nan;0;0
44141;868;22;100;28;0;28;1.000;3600000;0
44141;4785;22;0;0;0;0;.00nan;0;0
44143;1190;26;79;31;2;29;.935;3600000;0
44143;2805;26;0;0;0;0;.00nan;0;0
44143;3395;25;0;0;0;0;.00nan;0;0
44143;4550;25;56;46;6;40;.870;3600000;0
44145;223;16;64;21;2;19;.905;3600000;0
44145;252;16;0;0;0;0;.00nan;0;0
44145;1412;5;98;43;3;40;.930;3543000;0
44145;4354;5;0;0;0;0;.00nan;0;0
44147;1258;14;66;37;4;33;.892;3854000;0
44147;1410;278;69;36;4;32;.889;3900000;0
44147;4788;14;0;0;0;0;.00nan;0;0
44147;4804;278;0;0;0;0;.00nan;0;0
44149;432;15;50;39;6;33;.846;3756000;0
44149;510;15;0;0;0;0;.00nan;0;0
44149;679;19;70;48;5;43;.896;3756000;0
44149;846;19;0;0;0;0;.00nan;0;0
44151;671;20;70;53;6;47;.887;3600000;0
44151;2646;17;60;11;1;10;.909;3600000;0
44151;2721;17;0;0;0;0;.00nan;0;0
44151;4437;20;0;0;0;0;.00nan;0;0
44153;229;279;82;33;2;31;.939;3600000;0
44153;435;24;37;24;5;19;.792;3554000;0
44153;2563;279;0;0;0;0;.00nan;0;0
44153;3394;24;0;0;0;0;.00nan;0;0
44155;432;15;72;10;0;10;1.000;3600000;0
44155;510;15;0;0;0;0;.00nan;0;0
44155;3395;25;0;0;0;0;.00nan;0;0
44155;4550;25;70;47;4;43;.915;3600000;0
44157;442;18;51;25;4;21;.840;3600000;0
44157;671;20;43;11;2;9;.818;1760000;0
44157;2414;18;0;0;0;0;.00nan;0;0
44157;4437;20;25;25;6;19;.760;1840000;0
44159;644;9;79;26;1;25;.962;3600000;0
44159;852;9;0;0;0;0;.00nan;0;0
44159;898;10;0;0;0;0;.00nan;0;0
44159;1381;10;57;25;3;22;.880;3557000;0
44161;523;3;0;0;0;0;.00nan;0;0
44161;868;22;99;45;1;44;.978;3600000;0
44161;1087;3;21;23;6;17;.739;3600000;0
44161;4785;22;0;0;0;0;.00nan;0;0
44163;662;8;79;21;0;21;1.000;1825000;0
44163;1151;8;36;27;5;22;.815;1775000;0
44163;1278;12;96;30;1;29;.967;3600000;0
44163;1498;12;0;0;0;0;.00nan;0;0
44165;1258;14;56;31;4;27;.871;3900000;0
44165;2562;21;88;54;4;50;.926;3900000;0
44165;4788;14;0;0;0;0;.00nan;0;0
44165;5252;21;0;0;0;0;.00nan;0;0
44167;679;19;68;36;5;31;.861;3600000;0
44167;846;19;0;0;0;0;.00nan;0;0
44167;1410;278;81;29;1;28;.966;3600000;0
44167;4804;278;0;0;0;0;.00nan;0;0
44169;145;280;0;0;0;0;.00nan;0;0
44169;229;279;38;18;4;14;.778;1930000;0
44169;964;280;66;36;4;32;.889;3600000;0
44169;2563;279;50;7;1;6;.857;1625000;0
44171;223;16;0;0;0;0;.00nan;0;0
44171;252;16;47;32;5;27;.844;3600000;0
44171;961;0;63;46;6;40;.870;3575000;0
44171;4342;0;0;0;0;0;.00nan;0;0
44173;1247;11;60;30;4;26;.867;3600000;0
44173;1412;5;89;32;1;31;.969;3600000;0
44173;4354;5;0;0;0;0;.00nan;0;0
44173;4776;11;0;0;0;0;.00nan;0;0
44175;435;24;97;20;0;20;1.000;3600000;0
44175;1190;26;57;39;5;34;.872;3600000;0
44175;2805;26;0;0;0;0;.00nan;0;0
