PlayerId;TeamId;FranchiseId;GP;G;A;+/-;PIM;PP G;PP A;SH G;SH A;Fights;Fights_Won;HIT;GvA;TkA;SB;GR;Game Rating Off;Game Rating Def;SOG;TOI;PPTOI;SHTOI;PDO;GF/60;GA/60;SF/60;SA/60;CF;CA;CF%;CF% rel;FF;FA;FF%;FF% rel;GWG;FO;FOW
3321;20;20;28;1;6;-14;14;0;1;0;0;2;0;40;18;14;15;64;60;65;32;23905;2282;0;96.2;1.8;3.8;22.6;31.9;258;354;42.2;-2.4;181;253;41.7;-1.4;0;1;1
3328;304;304;13;0;3;-5;10;0;1;0;0;0;0;3;2;1;6;60;62;54;22;12518;2908;1108;91.5;2.9;4.3;34.5;25.6;200;165;54.8;1.4;152;122;55.5;1.1;0;0;0
3329;305;305;17;3;2;-6;24;1;0;0;0;2;1;27;3;5;8;62;59;59;31;12558;930;539;92.7;2.0;3.7;31.2;27.2;203;158;56.2;8.1;146;121;54.7;6.5;0;184;97
3337;282;282;22;12;13;10;20;4;5;0;0;0;0;10;10;7;2;69;66;69;45;17171;3049;1487;103.3;4.2;2.3;31.2;22.9;272;202;57.4;-0.1;202;155;56.6;-2.6;3;301;158
3341;305;305;27;10;16;-8;12;5;6;0;0;0;0;27;5;4;28;68;70;60;88;21655;7735;205;98.3;3.2;4.3;26.3;31.4;310;329;48.5;0.7;224;254;46.9;-0.9;4;27;14
3343;302;302;18;4;11;5;6;1;4;1;0;0;0;23;8;4;15;67;65;69;50;15675;5123;1487;101.1;4.4;3.2;31.5;25.3;254;209;54.9;0.3;196;152;56.3;1.2;0;0;0
3344;295;295;28;11;17;17;10;0;0;0;0;0;0;38;8;14;29;65;65;60;49;27304;1454;1344;104.2;4.6;2.4;33.0;24.3;468;381;55.1;0.3;344;275;55.6;1.1;1;206;85
3345;286;286;23;8;12;6;12;0;0;0;0;0;0;11;9;18;15;69;63;70;41;21304;1389;2025;104.0;3.2;2.2;26.0;26.2;294;303;49.2;7.0;222;224;49.8;7.3;0;315;156
3355;226;226;29;4;7;-13;36;3;1;0;0;0;0;17;5;16;41;57;54;59;31;23471;4640;1793;104.3;2.9;4.4;19.3;41.1;255;465;35.4;-3.4;182;356;33.8;-3.5;1;0;0
3356;237;3;21;5;4;-3;4;2;0;0;0;0;0;18;7;7;2;61;59;65;48;15594;5643;106;95.2;3.0;3.5;35.3;26.1;275;201;57.8;-0.2;197;150;56.8;-1.0;1;35;18
