PlayerId;League;Team
0;4;79
1;4;66
2;4;84
3;4;71
4;4;87
5;4;72
8;4;86
9;4;64
10;4;75
12;4;77
13;4;77
14;4;75
15;4;85
16;4;79
18;4;79
19;4;67
20;4;86
21;4;75
22;4;71
23;4;72
25;4;86
26;4;76
27;4;67
28;4;84
29;4;67
30;4;67
31;4;82
33;4;74
34;4;76
35;4;67
36;4;65
37;4;73
39;4;69
41;4;67
42;4;65
45;4;75
46;4;65
49;4;75
50;4;77
51;4;86
52;4;68
53;4;79
54;4;84
55;4;81
56;4;85
57;4;80
58;4;78
59;4;78
61;4;70
62;4;87
63;4;78
64;4;75
67;4;77
69;4;84
70;4;75
71;4;86
73;4;69
74;4;80
75;4;65
76;4;65
77;4;72
78;4;70
80;4;72
81;4;77
82;4;71
83;4;75
86;4;84
87;4;84
88;4;65
89;4;69
90;4;65
91;4;70
93;4;82
98;4;84
99;4;81
100;4;85
101;4;84
102;4;77
103;4;73
104;4;85
105;4;73
106;4;66
107;4;68
108;4;78
109;4;85
110;4;84
111;4;67
112;4;77
114;4;79
115;4;81
116;4;84
117;4;77
118;4;83
119;4;64
121;4;80
122;4;85
125;4;72
127;4;86
128;4;86
129;4;70
130;4;71
131;4;77
132;4;83
133;4;85
134;4;86
135;4;80
136;4;84
137;4;77
139;4;71
140;4;87
141;4;79
143;4;67
144;4;79
145;4;67
146;4;67
147;4;69
148;4;78
149;4;78
150;4;77
151;4;86
152;4;81
153;4;70
154;4;85
155;4;87
156;4;77
157;4;79
158;4;74
159;4;68
160;4;86
161;4;84
162;4;65
163;4;80
164;4;64
165;4;78
166;4;72
167;4;86
168;4;76
170;4;64
171;4;65
172;4;77
173;4;80
174;4;66
175;4;70
176;4;75
177;4;69
178;4;75
179;4;69
180;4;86
181;4;82
182;4;81
183;4;65
184;4;70
185;4;67
186;4;78
187;4;67
188;4;82
189;4;73
190;4;73
192;4;65
193;4;83
194;4;85
195;4;66
196;4;86
197;4;75
198;4;65
199;4;86
200;4;80
201;4;82
202;4;79
203;4;82
204;4;85
205;4;69
206;4;83
207;4;75
208;4;75
209;4;78
210;4;84
211;4;85
212;4;75
213;4;70
214;4;72
215;4;86
216;4;77
217;4;75
218;4;85
219;4;72
220;4;66
221;4;73
222;4;85
223;4;85
224;4;79
225;4;81
226;4;81
227;4;81
228;4;72
229;4;67
230;4;87
231;4;85
232;4;67
233;4;76
234;4;80
235;4;87
236;4;81
237;4;81
238;4;81
240;4;75
241;4;84
243;4;76
244;4;75
246;4;69
247;4;72
249;4;86
250;4;71
256;4;68
257;4;74
258;4;68
259;4;80
260;4;86
261;4;87
262;4;77
263;4;76
264;4;87
265;4;84
266;4;86
267;4;67
268;4;74
269;4;70
270;4;68
271;4;76
272;4;71
273;4;75
274;4;82
275;4;85
276;4;70
277;4;74
278;4;86
279;4;74
280;4;86
281;4;86
282;4;86
283;4;64
284;4;79
285;4;87
286;4;87
287;4;84
288;4;64
289;4;74
290;4;76
291;4;81
292;4;70
293;4;69
294;4;66
295;4;65
296;4;70
297;4;79
298;4;66
299;4;78
300;4;70
301;4;73
302;4;73
303;4;87
304;4;65
305;4;68
306;4;69
307;4;73
308;4;69
309;4;70
310;4;65
311;4;69
312;4;82
313;4;74
314;4;79
315;4;77
316;4;64
317;4;71
318;4;72
319;4;85
320;4;64
321;4;79
322;4;64
323;4;74
324;4;74
325;4;64
326;4;64
327;4;76
328;4;84
329;4;71
330;4;80
331;4;82
332;4;69
333;4;82
334;4;70
335;4;78
336;4;64
337;4;80
338;4;66
339;4;84
340;4;74
341;4;75
342;4;75
343;4;79
344;4;80
345;4;83
346;4;64
347;4;78
348;4;72
349;4;87
350;4;70
351;4;65
352;4;72
353;4;65
354;4;73
355;4;81
356;4;83
357;4;84
358;4;65
359;4;72
360;4;66
362;4;65
363;4;85
364;4;80
365;4;80
369;4;72
370;4;82
371;4;72
372;4;64
374;4;70
376;4;83
378;4;83
379;4;79
380;4;64
381;4;67
382;4;83
383;4;82
384;4;85
385;4;72
386;4;72
387;4;71
388;4;72
389;4;82
390;4;66
391;4;84
392;4;82
393;4;79
394;4;66
395;4;69
396;4;75
397;4;76
398;4;69
399;4;82
400;4;69
401;4;78
402;4;81
403;4;83
404;4;66
405;4;81
406;4;82
407;4;67
408;4;85
409;4;68
410;4;65
411;4;87
412;4;70
413;4;80
414;4;75
416;4;85
417;4;67
418;4;82
419;4;85
420;4;69
421;4;83
422;4;72
423;4;82
424;4;79
425;4;85
426;4;68
427;4;75
428;4;64
429;4;86
430;4;82
431;4;68
432;4;68
433;4;68
434;4;83
436;4;74
437;4;68
438;4;70
