PlayerId;TeamId;FranchiseId;GP;G;A;+/-;PIM;PP G;PP A;SH G;SH A;Fights;Fights_Won;HIT;GvA;TkA;SB;GR;Game Rating Off;Game Rating Def;SOG;TOI;PPTOI;SHTOI;PDO;GF/60;GA/60;SF/60;SA/60;CF;CA;CF%;CF% rel;FF;FA;FF%;FF% rel;GWG;FO;FOW
227;287;287;6;0;3;-1;0;0;0;0;0;0;0;3;2;0;10;60;57;66;13;6684;837;316;105.0;2.7;3.2;18.3;33.4;58;129;31.0;-7.4;42;101;29.4;-5.3;0;0;0
228;218;14;7;2;2;-5;0;0;0;0;0;0;0;9;3;1;3;66;65;62;13;8567;332;686;92.1;1.7;3.8;27.3;26.9;119;126;48.6;2.5;84;95;46.9;0.1;0;122;58
231;282;282;9;2;5;3;0;0;0;0;0;0;0;11;0;3;2;58;64;52;15;8655;0;463;103.4;4.2;2.9;30.4;28.3;128;126;50.4;-2.9;99;94;51.3;-1.6;0;8;5
232;280;280;5;0;5;-5;4;0;1;0;0;0;0;10;0;0;17;64;64;60;7;5232;90;44;99.4;1.4;4.8;15.1;49.5;33;141;19.0;-3.9;27;102;20.9;-0.6;0;6;4
241;223;9;3;1;0;-4;0;1;0;0;0;0;0;0;0;1;0;62;63;57;6;3303;513;0;88.6;0.0;4.4;15.3;38.1;33;57;36.7;-1.6;20;44;31.3;-6.5;0;4;1
257;3;3;9;4;6;9;0;3;1;0;0;0;0;2;4;1;9;79;78;77;39;11285;1930;407;101.9;4.1;1.3;48.5;19.1;281;93;75.1;4.5;214;76;73.8;4.1;0;0;0
262;236;25;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;58;56;63;1;687;119;0;120.0;5.2;0.0;26.2;21.0;8;6;57.1;3.2;6;6;50.0;-8.5;0;1;0
264;18;18;9;2;8;5;6;1;1;0;0;0;0;5;5;1;4;69;69;68;38;8783;1612;80;103.7;3.7;1.6;32.8;21.7;161;95;62.9;9.9;114;74;60.6;6.0;1;2;1
265;289;289;6;1;6;4;25;0;1;0;0;5;2;14;3;0;2;59;59;55;9;6056;157;335;108.1;5.9;3.6;28.5;27.9;94;94;50.0;-0.2;68;71;48.9;-3.8;0;92;50
266;302;302;10;0;2;0;0;0;0;0;0;0;0;8;0;1;0;54;55;51;3;4320;0;73;106.7;1.7;1.7;12.5;25.0;43;58;42.6;1.6;23;43;34.8;-8.0;0;53;34
269;289;289;7;0;0;2;0;0;0;0;0;0;0;4;0;3;12;59;56;58;3;4823;0;783;104.3;2.2;0.7;29.9;23.1;69;70;49.6;-0.1;51;43;54.3;3.7;0;8;1
275;302;302;8;1;1;4;49;0;0;0;0;7;4;35;3;0;4;62;53;62;9;8327;68;551;108.7;3.0;1.3;23.3;30.3;102;135;43.0;4.2;75;97;43.6;3.5;0;3;2
279;283;283;3;0;1;-2;0;0;1;0;0;0;0;2;2;1;2;52;51;49;4;3567;285;136;84.0;1.0;3.0;37.3;16.1;66;28;70.2;6.0;56;21;72.7;4.3;0;0;0
281;288;288;5;1;1;2;17;0;0;0;0;3;1;4;0;2;2;63;56;61;5;3455;25;46;100.7;4.2;2.1;33.3;17.7;62;46;57.4;17.1;42;32;56.8;19.4;0;58;22
282;218;14;7;2;8;-1;0;1;3;0;0;0;0;2;2;5;9;70;69;67;19;6657;1218;7;96.5;3.2;3.8;32.4;28.1;99;107;48.1;2.3;76;71;51.7;6.4;0;115;57
291;302;302;3;0;3;-3;0;0;0;0;0;0;0;4;1;0;1;48;48;46;4;3117;0;205;105.0;3.5;6.9;17.3;46.2;38;65;36.9;-15.5;29;49;37.2;-19.2;0;0;0
295;14;14;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;52;51;53;0;500;0;0;133.3;7.2;0.0;21.6;50.4;8;8;50.0;-21.2;5;7;41.7;-29.6;0;1;1
297;8;8;6;1;2;1;2;0;0;0;0;0;0;11;1;1;7;63;58;58;6;5186;0;95;107.0;2.8;2.1;19.4;28.5;52;94;35.6;-2.3;35;61;36.5;-1.5;0;69;31
301;291;291;8;2;6;1;2;0;2;0;0;0;0;10;9;0;4;61;61;56;14;6889;653;336;98.8;3.7;3.1;30.8;24.0;121;75;61.7;10.1;88;60;59.5;6.9;0;16;4
302;291;291;8;3;3;4;83;0;1;0;0;10;7;50;2;1;0;62;62;51;16;6837;584;60;101.0;5.8;3.7;35.8;24.2;128;75;63.1;12.1;96;56;63.2;12.1;2;4;3
303;9;9;5;0;0;-2;2;0;0;0;0;0;0;7;0;1;0;54;58;48;4;4765;270;0;101.9;2.3;3.8;21.2;43.1;56;106;34.6;0.3;41;83;33.1;-3.4;0;0;0
305;10;10;10;1;1;-4;2;0;0;0;0;0;0;12;3;0;9;59;60;54;14;7929;27;207;95.6;1.8;3.6;26.3;32.2;98;125;43.9;-2.1;77;101;43.3;-4.1;0;11;5
310;289;289;6;3;5;6;6;0;1;0;0;0;0;3;2;3;4;66;66;59;12;5859;525;431;112.9;4.3;0.6;27.6;22.7;95;79;54.6;6.4;72;58;55.4;6.6;1;110;44
315;236;25;10;3;2;2;4;0;1;0;0;0;0;8;6;6;11;61;59;62;25;10367;1644;0;99.9;2.8;2.1;30.9;22.9;177;136;56.5;-5.6;124;92;57.4;-4.6;0;12;2
316;280;280;5;0;1;-2;0;0;0;0;0;0;0;10;2;0;0;51;51;48;0;2452;137;0;101.1;2.9;5.9;23.5;51.4;23;53;30.3;10.2;17;40;29.8;9.9;0;1;1
318;9;9;5;0;0;-2;2;0;0;0;0;0;0;3;1;1;3;54;50;59;3;1936;0;0;91.3;0.0;3.7;13.0;42.8;12;46;20.7;-15.4;8;30;21.1;-15.9;0;28;8
321;18;18;9;2;3;5;0;0;0;0;0;0;0;3;3;5;3;62;60;60;8;7312;39;532;106.2;3.9;1.5;32.0;24.1;111;78;58.7;3.4;82;61;57.3;1.1;1;8;4
322;22;22;4;0;1;-6;0;0;0;0;0;0;0;3;1;3;1;45;50;44;2;3833;0;523;73.9;0.9;6.6;21.6;21.6;52;53;49.5;8.2;37;39;48.7;8.2;0;0;0
323;296;296;7;2;6;5;0;0;0;0;0;0;0;12;3;2;6;60;64;55;11;6589;337;853;104.5;6.6;3.8;35.0;26.8;115;96;54.5;13.0;80;72;52.6;10.4;0;27;16
327;283;283;10;2;3;9;2;0;0;0;0;0;0;14;5;0;8;71;54;72;29;12326;148;546;103.4;4.4;1.8;38.8;22.2;243;149;62.0;4.7;187;108;63.4;4.8;0;0;0
330;279;279;4;0;1;-3;0;0;0;0;0;0;0;0;1;1;0;52;54;46;3;2902;0;0;88.5;1.2;5.0;32.3;32.3;41;56;42.3;-6.0;32;41;43.8;-5.7;0;44;27
331;236;15;9;0;3;1;0;0;0;0;0;0;0;4;4;1;1;56;55;54;7;3839;0;534;96.8;2.8;1.9;35.6;16.9;59;38;60.8;1.4;48;27;64.0;5.0;0;5;2
335;3;3;9;1;2;6;0;0;0;0;0;0;0;14;2;4;0;58;65;51;17;6138;0;322;103.3;5.3;1.8;38.7;17.0;126;50;71.6;-1.1;92;42;68.7;-3.3;0;7;4
338;237;3;5;1;2;4;6;0;0;0;0;0;0;7;3;5;3;64;65;61;12;6373;734;379;110.0;4.5;2.3;24.9;27.7;92;93;49.7;2.1;65;66;49.6;1.6;0;12;5
341;3;3;9;2;1;2;0;0;0;0;0;0;0;7;3;0;1;54;53;52;10;3790;0;452;100.4;2.8;0.9;42.7;15.2;71;30;70.3;-2.4;57;24;70.4;-1.1;0;45;30
342;291;291;8;2;4;2;0;1;0;0;0;0;0;6;3;6;17;72;57;82;6;8261;603;508;101.4;4.4;3.5;31.4;27.9;139;105;57.0;3.9;104;77;57.5;4.5;1;0;0
346;294;294;5;1;3;-2;0;1;1;0;0;0;0;6;4;0;5;62;56;66;7;4454;1383;492;114.6;5.7;7.3;18.6;46.1;41;85;32.5;-7.3;33;68;32.7;-4.5;0;0;0
347;291;291;8;1;5;-1;4;1;2;0;0;0;0;16;4;0;7;71;71;60;21;8368;1426;147;95.8;3.9;3.9;32.7;24.1;136;106;56.2;2.7;107;77;58.2;5.6;0;150;87
349;15;15;10;1;2;1;2;0;1;0;0;0;0;7;7;3;6;58;58;53;22;9306;2077;0;98.5;2.3;1.9;34.0;23.2;166;110;60.1;6.5;130;79;62.2;9.8;0;0;0
354;291;291;8;1;2;5;0;0;0;0;0;0;0;7;2;4;19;64;52;64;14;8708;0;1150;104.3;4.1;2.1;28.1;19.8;127;99;56.2;2.6;100;73;57.8;4.9;0;0;0
356;9;9;5;0;0;-3;6;0;0;0;0;0;0;2;1;0;2;47;52;44;1;3899;0;0;93.0;0.0;2.8;15.7;39.7;30;86;25.9;-10.9;25;58;30.1;-6.7;0;5;1
357;301;301;8;1;3;-1;27;0;0;0;0;5;5;5;1;2;1;57;55;50;14;5228;0;0;91.1;1.4;2.1;44.1;17.2;115;51;69.3;7.0;86;35;71.1;8.3;0;0;0
359;290;290;4;0;0;-3;0;0;0;0;0;0;0;4;3;2;5;62;62;59;15;5017;215;388;93.1;0.7;2.9;29.4;30.9;73;86;45.9;-4.8;56;66;45.9;-5.5;0;0;0
361;280;280;5;2;1;-1;2;1;0;0;0;0;0;2;1;2;1;57;58;48;5;4829;506;0;114.8;3.7;4.5;14.9;44.0;38;118;24.4;4.0;27;92;22.7;2.0;0;0;0
