Game Id;PlayerId;TeamId;Game Rating;Game Rating Off;Game Rating Def;G;A;+/-;SOG;MS;BS;PIM;HT;TK;GV;SHF;TOT;PP;SH;EV;FOW;FOL;FO%;Team Shots on;Team Shots Against on;Team Shots Missed on;Team Shots Missed Against on;Team Shots Blocked on;Team Shots Blocked Against on;Team Goals on;Team Goal Against on;Team Shots off;Team Shots Against off;Team Shots Missed off;Team Shots Missed Against off;Team Shots Blocked off;Team Shots Blocked Against off;Team Goals off;Team Goal Against off;OZ Starts;NZ Starts;DZ Starts;Team OZ Starts;Team NZ Starts;Team DZ Starts;SQ0;SQ1;SQ2;SQ3;SQ4
36563;649;285;62.84;57;62.7;0;0;-1;2;1;1;4;3;0;1;25;1260;303;0;957;11;10;52.4;13;12;2;4;2;6;0;1;27;17;7;5;9;2;4;4;7;3;13;26;22;33;1;1;1;1;0
36563;681;284;54.5571;59.1;43.2;0;1;-1;3;2;0;0;0;0;1;19;954;162;55;737;3;1;75.0;7;7;2;1;0;1;1;2;22;33;7;8;8;10;4;2;9;8;5;33;22;26;0;3;1;1;0
36563;690;284;62.6429;60.7;64.1;0;1;3;0;0;1;0;0;0;0;23;1011;13;32;966;0;0;0;15;10;2;3;3;2;3;0;14;30;7;6;5;9;2;4;6;7;6;33;22;26;0;0;1;0;0
36563;741;284;55.3143;53;54.8;0;0;0;0;0;0;0;1;0;0;12;531;58;0;473;1;2;33.3;1;5;1;1;2;3;0;0;28;35;8;8;6;8;5;4;4;0;2;33;22;26;0;0;0;0;0
36563;763;284;46;55.5;45;0;0;1;3;1;0;2;0;0;0;26;1129;94;182;853;2;2;50.0;11;13;1;3;5;4;1;0;18;27;8;6;3;7;4;4;11;5;9;33;22;26;0;3;0;1;0
36563;796;284;71.1;65.4;73.8;0;0;1;3;0;1;0;0;1;0;23;973;33;78;862;0;4;0.0;11;12;1;3;5;4;1;0;18;28;8;6;3;7;4;4;9;4;10;33;22;26;1;2;0;1;0
36563;892;284;65.2286;65.2;55.5;0;0;1;4;0;1;0;2;0;0;25;1132;204;0;928;10;13;43.5;11;12;1;3;5;4;1;0;18;28;8;6;3;7;4;4;10;6;11;33;22;26;0;1;0;3;1
36563;896;285;64.8714;48.3;66;0;0;-2;3;1;0;2;2;0;0;30;1403;51;58;1294;0;0;0;16;14;1;4;3;4;2;4;24;15;8;5;8;4;2;1;12;12;10;26;22;33;0;3;0;1;0
36563;926;285;63.1875;68.6;58.5;1;0;-1;5;0;2;0;1;1;0;28;1285;80;162;1043;2;3;40.0;15;12;2;4;2;6;0;1;25;17;7;5;9;2;4;4;9;4;10;26;22;33;2;2;2;1;0
36563;1013;285;36.3;42;35;0;0;-2;0;0;2;0;2;0;1;30;1408;51;115;1242;0;0;0;16;14;1;4;3;4;2;4;24;15;8;5;8;4;2;1;12;12;11;26;22;33;1;0;1;0;0
