PlayerId;DraftId;Year;Round;Pick;Overall;Tam;Picked From
743;0;1979;4;10000;77;14;-1
744;0;1977;1;10000;4;18;-1
744;40;1977;1;10000;7;32;-1
748;0;1976;2;10000;34;5;-1
748;40;1976;6;10000;67;41;-1
753;16;1980;4;10;82;19;180
754;0;1977;5;10000;80;10;-1
754;40;1977;2;10000;20;30;-1
760;16;1980;6;17;137;20;181
761;0;1972;5;10000;69;17;-1
762;16;1980;5;10;106;278;180
764;0;1974;2;10000;32;10;-1
764;40;1974;1;10000;5;41;-1
765;16;1980;6;6;126;19;181
768;16;1980;9;4;196;3;180
770;16;1980;6;13;133;16;180
771;0;1972;2;10000;26;9;-1
-1;16;1981;7;10;154;280;185
782;0;1970;2;10000;16;18;-1
786;16;1981;3;7;55;9;181
787;0;1979;1;10000;6;12;-1
-1;16;1982;8;16;184;20;-1
800;0;1977;10;10000;156;22;-1
806;0;1974;2;10000;26;16;-1
809;16;1981;1;18;18;20;154
819;0;1969;6;10000;62;15;-1
821;0;1977;10;10000;160;0;-1
822;0;1977;4;10000;64;0;-1
826;0;1973;3;10000;45;8;-1
826;40;1973;4;10000;41;29;-1
826;16;1980;5;8;104;23;180
828;16;1980;7;10;154;278;158
830;0;1979;2;10000;34;10;-1
835;0;1974;2;10000;25;5;-1
836;16;1981;1;5;5;21;180
840;16;1980;6;20;140;14;180
841;0;1971;4;10000;53;0;-1
845;0;1973;3;10000;37;0;-1
845;40;1973;3;10000;31;41;-1
850;16;1981;2;18;42;20;181
864;16;1980;3;24;72;18;179
865;16;1980;10;12;228;11;179
870;16;1980;2;14;38;22;180
871;16;1980;2;1;25;278;179
872;0;1977;4;10000;66;15;-1
872;40;1977;3;10000;22;40;-1
874;16;1980;5;3;99;10;179
883;16;1981;1;6;6;16;157
884;0;1976;2;10000;32;20;-1
884;40;1976;4;10000;38;29;-1
887;0;1967;2;10000;16;3;-1
891;16;1980;3;22;70;0;179
893;0;1970;5;10000;60;14;-1
895;0;1969;2;10000;15;15;-1
899;16;1980;6;5;125;15;180
900;16;1980;8;5;173;15;180
909;16;1980;7;14;158;22;180
913;16;1980;3;14;62;22;157
918;0;1979;6;10000;120;5;-1
930;0;1979;5;10000;104;25;-1
934;0;1977;7;10000;114;8;-1
934;40;1977;3;10000;25;32;-1
936;0;1970;1;10000;12;9;-1
937;40;1975;7;10000;98;39;-1
939;16;1980;7;6;150;19;180
944;0;1975;3;10000;46;18;-1
944;40;1975;4;10000;46;32;-1
948;0;1975;7;10000;120;10;-1
948;40;1975;1;10000;1;32;-1
951;0;1975;1;10000;13;15;-1
951;40;1975;3;10000;33;37;-1
962;16;1980;1;5;5;278;156
963;0;1970;5;10000;62;12;-1
964;0;1974;7;10000;125;14;-1
964;40;1974;13;10000;180;31;-1
971;16;1980;2;13;37;16;180
975;0;1979;2;10000;35;14;-1
977;0;1976;4;10000;56;16;-1
977;40;1976;5;10000;50;29;-1
981;0;1976;3;10000;47;15;-1
981;40;1976;2;10000;22;35;-1
-1;16;1981;4;11;83;26;-1
985;0;1974;2;10000;33;0;-1
985;40;1974;5;10000;71;40;-1
990;16;1980;3;2;50;9;180
996;16;1981;1;13;13;17;180
998;0;1970;1;10000;4;5;-1
1006;16;1980;2;8;32;23;180
1018;0;1971;1;10000;5;17;-1
1019;0;1964;1;10000;5;3;-1
1024;0;1975;1;10000;4;12;-1
1024;40;1975;1;10000;2;36;-1
1028;0;1978;15;10000;223;10;-1
1028;16;1980;9;23;215;8;180
1033;0;1979;6;10000;114;3;-1
1035;0;1979;1;10000;15;5;-1
1039;0;1970;2;10000;24;11;-1
1040;16;1980;5;20;116;14;180
1043;16;1981;2;14;38;279;179
1045;16;1980;2;5;29;278;180
1046;0;1969;3;10000;31;3;-1
1050;0;1976;1;10000;14;20;-1
1050;40;1976;2;10000;15;36;-1
1052;0;1971;2;10000;18;15;-1
1053;16;1980;8;21;189;21;181
1054;16;1980;6;8;128;23;180
1060;16;1981;1;9;9;23;180
1061;0;1978;2;10000;25;15;-1
1063;0;1970;5;10000;68;9;-1
1064;0;1976;2;10000;36;0;-1
1064;40;1976;4;10000;37;32;-1
1066;0;1972;1;10000;9;16;-1
1073;16;1980;1;23;23;8;181
1075;0;1974;21;10000;241;10;-1
1075;40;1974;9;10000;132;29;-1
1082;0;1963;1;10000;1;0;-1
1083;0;1971;4;10000;43;13;-1
1085;0;1975;1;10000;15;0;-1
1085;40;1975;1;10000;14;30;-1
1093;16;1980;7;7;151;5;175
1096;0;1973;5;10000;66;13;-1
1096;40;1973;4;10000;45;27;-1
1096;16;1980;5;13;109;16;180
1099;16;1980;2;2;26;9;180
1104;16;1980;9;19;211;24;180
1108;0;1979;2;10000;37;0;-1
-1;16;1982;8;20;188;8;-1
1119;16;1980;10;13;229;16;180
1122;16;1980;9;12;204;11;180
1124;16;1980;1;4;4;9;180
1129;0;1975;8;10000;142;0;-1
1129;40;1974;13;10000;184;35;-1
1131;0;1972;5;10000;66;0;-1
1131;16;1980;3;7;55;5;181
1132;16;1980;1;1;1;10;180
1133;0;1969;2;10000;14;12;-1
1135;16;1981;1;16;16;16;180
1139;0;1973;5;10000;67;18;-1
1139;40;1973;5;10000;61;35;-1
1142;0;1971;1;10000;14;5;-1
1143;0;1979;4;10000;79;0;-1
1147;16;1980;6;19;139;24;180
1151;0;1974;5;10000;85;3;-1
1151;40;1974;2;10000;24;32;-1
1154;0;1978;4;10000;65;3;-1
1157;0;1977;2;10000;34;5;-1
1157;40;1977;10;10000;90;35;-1
1158;0;1979;5;10000;87;9;-1
1160;0;1978;3;10000;46;8;-1
