season,award_name,player_id,team_id,notes
1983-84,MARK MESSIER LEADERSHIP AWARD,10,,
1984-85,MASTERTON TROPHY,708,,
1984-85,BOILEDEGG'S TROPHY,,280,
1984-85,PRINCE OF WALES TROPHY,,3,
1984-85,CLARENCE CAMPBELL TROPHY,,18,
1984-85,BOWL CUP TROPHY,,3,
1984-85,JIM GREGORY TROPHY,,,unresolved_team=Connor
1984-85,MARK MESSIER LEADERSHIP AWARD,19,,
1985-86,MASTERTON TROPHY,965,,
1985-86,BOILEDEGG'S TROPHY,,280,
1985-86,PRINCE OF WALES TROPHY,,15,
1985-86,CLARENCE CAMPBELL TROPHY,,17,
1985-86,BOWL CUP TROPHY,,17,
1985-86,JIM GREGORY TROPHY,,,unresolved_team=Skyvendrake
1985-86,MARK MESSIER LEADERSHIP AWARD,22,,
1979-80,ROGER CROZIER SAVING GRACE TROPHY,688,,
1979-80,PLUS/MINUS TROPHY,15,,
1979-80,THE MASTERS' GREEN JACKET,47,,
1979-80,BOWL RISING STAR,2719,,
1980-81,ROGER CROZIER SAVING GRACE TROPHY,688,,
1980-81,PLUS/MINUS TROPHY,188,,
1980-81,THE MASTERS' GREEN JACKET,464,,
1980-81,BOWL RISING STAR,226,,
1981-82,ROGER CROZIER SAVING GRACE TROPHY,221,,
1981-82,PLUS/MINUS TROPHY,965,,
1981-82,THE MASTERS' GREEN JACKET,1088,,
1981-82,BOWL RISING STAR,549,,
1982-83,ROGER CROZIER SAVING GRACE TROPHY,1247,,
1982-83,PLUS/MINUS TROPHY,788,,
1982-83,THE MASTERS' GREEN JACKET,324,,
1982-83,BOWL RISING STAR,4337,,
1983-84,ROGER CROZIER SAVING GRACE TROPHY,975,,
1983-84,PLUS/MINUS TROPHY,867,,
1983-84,THE MASTERS' GREEN JACKET,1097,,
1983-84,BOWL RISING STAR,4559,,
1984-85,ROGER CROZIER SAVING GRACE TROPHY,2,,
1984-85,PLUS/MINUS TROPHY,3544,,
1984-85,THE MASTERS' GREEN JACKET,117,,
1984-85,BOWL RISING STAR,4773,,
1985-86,ROGER CROZIER SAVING GRACE TROPHY,229,,
1985-86,PLUS/MINUS TROPHY,788,,
1985-86,THE MASTERS' GREEN JACKET,522,,
1985-86,BOWL RISING STAR,4997,,
